Vial,Experiment,Coral ID,Treatment ,Symbiont Counts (symbiont/cm2),Skeletal Density (g/mL),Chl a,Chl C^2,Chl a+C^2,Protein Concentration (mg*cm^2/mL)),Chl a+c^2 per symbiont (x1000)
33,2.5,67-6,"29 NTU, 30C",31117889.69,1.363343478,859.5738555,544.8004936,1404.374349,50.68347898,0.045130771
34,2.5,67-8,"29 NTU, 27C",13632697.45,1.289133333,410.152922,395.0427743,805.1956963,35.42852796,0.059063564
35,2.5,67-9,"0 NTU, 30C",13340458.33,1.569333333,553.3554576,447.0783438,1000.433801,51.91658984,0.074992461
36,2.5,67-7,"0 NTU, 27C",22987139.5,1.310123077,656.7091204,553.4097464,1210.118867,48.42093442,0.052643299
37,2.5,80-6,"29 NTU, 30C",35110705.6,1.591010526,810.1190182,710.7041933,1520.823211,47.65716296,0.043315085
38,2.5,80-7,"29 NTU, 27C",25165051.47,1.45605,602.6748574,434.776614,1037.451471,34.28659522,0.041225883
39,2.5,80-10,"0 NTU, 30C",28089355.46,1.18040625,411.9190679,394.7447386,806.6638065,20.16664545,0.028717776
40,2.5,80-12,"0 NTU, 27C",8416584.207,1.560282353,109.7733381,95.82060325,205.5939414,4.902085802,0.024427242
41,2.6,84-1,"29 NTU, 30C",23959233.81,1.359415385,544.4821326,279.546355,824.0284876,34.34321392,0.03439294
42,2.6,84-8,"29 NTU, 27C",21535840.83,1.346192308,901.7759071,508.2322852,1410.008192,58.24856452,0.065472633
43,2.6,84-9,"0 NTU, 30C",23216051.32,1.659428571,1310.694893,687.3048321,1997.999725,89.87308029,0.086061135
44,2.6,84-5,"0 NTU, 27C",37527059.81,1.095763636,1084.797137,511.1565665,1595.953704,60.90910458,0.042528077
45,2.6,90-3,"29 NTU, 30C",41881761.01,1.2477,660.2069477,431.92095,1092.127898,32.27492492,0.026076456
46,2.6,90-4,"29 NTU, 27C",10942722.43,1.485866667,526.4093463,481.2909214,1007.700268,47.49785462,0.092088626
47,2.6,90-6,"0 NTU, 30C",17435844.32,1.45404,453.1992014,342.6343601,795.8335615,39.34869428,0.045643534
48,2.6,90-7,"0 NTU, 27C",20818234.94,1.3483125,731.0735443,822.5121512,1553.585695,43.96329145,0.074626197
49,2.7,97-4,"29 NTU, 30C",15578512.34,1.58375,671.7354734,341.5129895,1013.248463,35.3570093,0.065041414
50,2.7,97-8,"29 NTU, 27C",11628792.87,1.460076923,221.4844836,186.8375058,408.3219894,16.28906199,0.035113016
51,2.7,97-6,"0 NTU, 30C",11029805.07,1.4337,488.7477448,289.5944968,778.3422416,32.18371291,0.07056718
52,2.7,97-9,"0 NTU, 27C",14092714.85,1.5162375,430.3902299,275.336105,705.7263349,24.06768796,0.050077387
53,2.7,101-6,"29 NTU, 30C",11323245.87,1.633976471,287.6934933,177.3851653,465.0786586,18.81742309,0.04107291
54,2.7,101-12,"29 NTU, 27C",15456112.17,1.366004348,484.4163146,258.8956615,743.3119761,20.61278492,0.048091782
55,2.7,101-13,"0 NTU, 30C",28565097.74,1.691775,665.6364831,300.6889176,966.3254007,32.13768137,0.033828885
56,2.7,101-15,"0 NTU, 27C",20732581.42,1.389933333,692.6062494,372.0676547,1064.673904,39.36055485,0.051352694
57,2.8,50-7,"29 NTU, 30C",21648223.44,1.346126087,435.7395379,228.0822578,663.8217957,38.11987309,0.030664031
58,2.8,50-8,"29 NTU, 27C",15164729.85,1.140221739,454.8012935,249.8609448,704.6622383,33.15032628,0.04646718
59,2.8,50-9,"0 NTU, 30C",44666533.58,1.321632,1322.427242,829.7964545,2152.223696,50.95510239,0.048184256
60,2.8,50-10,"0 NTU, 27C",32935171.51,1.101225,440.3612641,255.9159541,696.2772182,38.78263597,0.021140841
61,2.8,60-7,"29 NTU, 30C",36436952.57,1.3039,457.7983835,318.7417453,776.5401288,30.89082307,0.021311885
62,2.8,60-8,"29 NTU, 27C",53945110.56,1.311933333,849.521173,518.0900013,1367.611174,58.3175803,0.025351902
63,2.8,60-9,"0 NTU, 30C",25803462.49,1.42225,586.5497769,359.8857369,946.4355138,32.79293539,0.036678625
64,2.8,60-1,"0 NTU, 27C",25723871.85,1.26725,443.8905521,353.1501156,797.0406678,31.01753147,0.030984475
81,2.1,67-14,"29 NTU, 30C",7976887.693,1.3356,158.78953,124.5201074,283.3096374,14.44707552,0.035516313
82,2.1,67-15,"29 NTU, 27C",17161186.11,1.483082609,239.5805337,162.8987095,402.4792432,22.66423395,0.02345288
83,2.1,67-18,"0 NTU, 30C",15077598.33,1.418348571,298.5992081,173.932624,472.531832,32.55482218,0.031339993
84,2.1,67-11,"0 NTU, 27C",15843250.13,1.6414875,677.5923956,458.4502329,1136.042628,78.60703475,0.07170515
85,2.1,80-22,"29 NTU, 30C",18654616.5,1.3155,493.7919869,345.5544325,839.3464193,41.50607677,0.044994032
86,2.1,80-13,"29 NTU, 27C",17553021.35,1.8166,139.2157254,119.5612629,258.7769882,15.7704661,0.014742589
87,2.1,80-16,"0 NTU, 30C",14881534.03,1.539437838,471.9216302,393.2242595,865.1458898,33.74325325,0.058135531
88,2.1,80-18,"0 NTU, 27C",10635313.86,1.184968421,92.38583208,94.43359111,186.8194232,12.68165213,0.017565953
65,NA,80-8,None,22030450.2,1.401233333,686.3774853,362.3698454,1048.747331,51.74065296,4.76E-05
66,NA,50-6,None,24437469.22,1.266415385,1500.154368,699.1427784,2199.297146,108.0952014,9.00E-05
67,NA,84-3,None,19793532.65,1.425102632,849.2633054,542.3902055,1391.653511,86.80016003,7.03E-05
68,NA,101-9,None,20618921.67,1.456126531,1509.513999,694.8121165,2204.326115,94.52945176,0.000106908
69,NA,60-3,None,21530558.32,1.552315385,823.4881668,462.9594761,1286.447643,55.10949754,0.000187973
70,NA,97-2,None,30757940.46,1.62963,1893.019596,740.0851833,2633.104779,142.7439966,8.56E-05
71,NA,67-4,None,39034501.14,1.591609091,2267.788828,1126.138291,3393.927119,162.7857835,8.69E-05
72,NA,90-9,None,13755673.08,1.5790725,1414.074161,1107.28305,2521.357211,110.8106453,0.000183296
89,NA,80-17,None,21003069.84,1.423373684,1175.924877,641.8229994,1817.747877,105.8306077,8.65E-05
90,NA,67-13,None,25116813.71,1.426733333,1144.798523,651.330109,1796.128632,119.152236,7.15E-05
1,1.1,67-1,50,12541459.97,1.573903125,589.9445201,634.8470142,1224.791534,53.26016832,0.097659406
2,1.1,67-2,29,18027464.64,1.610602941,729.5939031,529.3613175,1258.955221,78.43278307,0.069835401
3,1.1,67-3,15,27901713.41,1.571636842,1037.746749,562.6234839,1600.370233,88.71955678,0.057357418
4,1.1,67-5,0,28365374.21,1.483453125,734.2028017,681.7717151,1415.974517,78.17683785,0.04991912
5,1.1,80-2,29,13643799.74,1.269,183.3231129,189.8503855,373.1734984,11.65985758,0.027351142
6,1.1,80-3,50,29369375.56,1.587,251.0991079,201.4866128,452.5857206,20.38538722,0.015410124
7,1.1,80-4,15,16586123.58,1.716171429,195.751374,395.5408996,591.2922736,18.08807006,0.035649817
8,1.1,80-5,0,14310941.3,1.6428,73.46629533,93.18102366,166.647319,7.327606318,0.011644749
9,1.2,84-2,50,22054189.12,1.452289655,801.6483864,389.6020314,1191.250418,62.53143123,0.0540147
10,1.2,84-4,29,26993276.55,1.38625,328.7934271,228.972666,557.7660931,29.3724226,0.020663149
11,1.2,84-6,15,24785036.23,1.35225,229.9666277,197.7314358,427.6980635,21.85538323,0.017256302
12,1.2,84-7,0,24315765.12,1.527933333,623.9967693,456.0776658,1080.074435,49.81484409,0.04441869
13,1.2,90-2,29,26968025.79,1.3935,231.6706892,211.6425624,443.3132516,18.74065952,0.016438476
14,1.2,90-5,50,23640485.6,1.24668,233.9984799,213.6070802,447.6055601,36.10315463,0.018933856
15,1.2,90-8,15,23194680.76,1.25885,246.7031069,174.5256921,421.228799,29.96675278,0.018160578
16,1.2,90-10,0,19467616.94,1.339305882,262.9752997,180.1958612,443.1711609,34.56721305,0.022764531
17,1.3,97-1,50,11828521.67,1.456121739,211.8191488,195.7332245,407.5523734,27.43494022,0.034455056
18,1.3,97-3,29,32973417.86,1.623547059,349.9954059,387.9224631,737.917869,26.34195769,0.022379174
19,1.3,97-10,15,8092457.969,1.66887,149.7017006,157.225862,306.9275626,16.01614749,0.037927607
20,1.3,97-7,0,23422676.01,1.746704348,422.4380851,330.1399719,752.578057,36.32839788,0.032130319
21,1.3,101-8,29,9880631.906,1.397778261,404.5332847,325.5456888,730.0789735,34.30325407,0.073889907
22,1.3,101-10,50,14764427.47,1.41633,686.0927334,432.4400396,1118.532773,49.46279504,0.075758628
23,1.3,101-11,15,20204325.07,1.439132143,602.478682,709.8018319,1312.280514,48.83874609,0.064950475
24,1.3,101-14,0,16047088.9,1.457805405,1360.668017,805.0540405,2165.722058,59.35098553,0.134960432
25,1.4,50-1,50,25598062.25,1.341766667,779.2454838,634.058319,1413.303803,47.44598919,0.055211359
26,1.4,50-2,29,35417636.52,1.353541935,760.8061612,451.7117542,1212.517915,57.81322345,0.034234862
27,1.4,50-3,15,34460024.48,1.3984,954.3173255,731.919805,1686.23713,49.58252661,0.048933138
28,1.4,50-5,0,38324695.64,1.264428,978.4149811,540.2909663,1518.705947,57.11771786,0.039627345
29,1.4,60-2,29,24944430.77,1.38315,521.7721285,466.9948115,988.76694,32.98768492,0.039638785
30,1.4,60-4,50,19403399.47,1.88694,247.6047077,208.1031331,455.7078409,22.23722494,0.023485979
31,1.4,60-5,15,16828421.25,1.544505882,508.747373,691.0737734,1199.821146,30.88342514,0.071297309
32,1.4,60-6,0,38339837.17,1.606984615,345.0796336,274.3246455,619.4042791,27.87005072,0.016155631
73,1.9,67-12,50,11208601.35,1.581267857,316.4237616,211.8212689,528.2450305,36.08365895,0.047128541
74,1.9,67-16,29,13853187.28,1.187565517,119.5959704,113.7478699,233.3438402,10.25547257,0.016844054
75,1.9,67-22,15,13318958.66,1.044741176,83.09965877,107.5442996,190.6439583,3.871502718,0.014313729
76,1.9,67-23,0,15589844.12,1.135315385,126.1733319,145.3699246,271.5432564,10.34365017,0.017417958
77,1.9,80-21,29,13197780.72,1.3712,294.6141164,264.2305226,558.844639,29.86120044,0.042343834
78,1.9,80-14,50,14995915.25,1.4572,479.0975685,509.5688455,988.6664141,50.98449687,0.065929048
79,1.9,80-15,15,14365673.71,1.3002,182.826777,182.016325,364.843102,21.25484078,0.025396867
80,1.9,80-19,0,13390782.11,1.5748,301.0594702,254.5256792,555.5851494,34.9557284,0.041490119
