Genotype,Day ,Date,Colletion Time,Chamber ,Treatment,Temperature,Delta TA,Volume ,BW,GNET
67,1,1/23/24,9:00:00,1,29,30,-13.85,603,5.85,0.296647353
67,1,1/23/24,12:00:00,1,29,30,-77.15,603,5.85,1.652443556
67,1,1/23/24,16:00:00,1,29,30,-4.3,603,5.85,0.0920999
67,1,1/23/24,9:00:00,2,0,30,-5.85,603,6.92,0.10592448
67,1,1/23/24,12:00:00,2,0,30,-16.35,603,6.92,0.296045342
67,1,1/23/24,16:00:00,2,0,30,-325.7,603,6.92,5.897368065
80,1,1/23/24,9:00:00,3,29,30,-7.65,603,4.06,0.236092381
80,1,1/23/24,13:00:00,3,29,30,-13.25,603,4.06,0.408918175
80,1,1/23/24,17:00:00,3,29,30,-72.9,603,4.06,2.249821509
80,1,1/23/24,9:00:00,4,0,30,10.45,603,2.5,-0.523748571
80,1,1/23/24,13:00:00,4,0,30,-2.75,603,2.5,0.137828571
80,1,1/23/24,17:00:00,4,0,30,-5.75,603,2.5,0.288187013
67,1,1/23/24,9:00:00,5,29,27,-13.7,603,5.31,0.323275369
67,1,1/23/24,12:00:00,5,29,27,-9.55,603,5.31,0.225348888
67,1,1/23/24,16:00:00,5,29,27,18.75,603,5.31,-0.442438917
67,1,1/23/24,9:00:00,6,0,27,4.15,603,5.07,-0.102562053
67,1,1/23/24,12:00:00,6,0,27,-31,603,5.07,0.766126182
67,1,1/23/24,16:00:00,6,0,27,-4.85,603,5.07,0.119861677
80,1,1/23/24,9:00:00,7,29,27,-14.1,603,4.27,0.41374981
80,1,1/23/24,13:00:00,7,29,27,-37,603,4.27,1.085726452
80,1,1/23/24,17:00:00,7,29,27,-3.55,603,4.27,0.104171051
80,1,1/23/24,9:00:00,8,0,27,-32.1,603,2.23,1.803627046
80,1,1/23/24,13:00:00,8,0,27,12.5,603,2.23,-0.70234698
80,1,1/23/24,17:00:00,8,0,27,17.35,603,2.23,-0.974857609
67,2,1/24/24,9:00:00,1,29,30,-57.5,603,5.85,1.231568432
67,2,1/24/24,12:00:00,1,29,30,-20.15,603,5.85,0.431584416
67,2,1/24/24,16:00:00,1,29,30,-21.65,603,5.85,0.463712288
67,2,1/24/24,9:00:00,2,0,30,8.95,603,6.92,-0.162055401
67,2,1/24/24,12:00:00,2,0,30,-11,603,6.92,0.199174236
67,2,1/24/24,16:00:00,2,0,30,3.3,603,6.92,-0.059752271
80,2,1/24/24,9:00:00,3,29,30,19.8,603,4.06,-0.611062632
80,2,1/24/24,13:00:00,3,29,30,-46.45,603,4.06,1.433528245
80,2,1/24/24,17:00:00,3,29,30,-6.4,603,4.06,0.197515194
80,2,1/24/24,9:00:00,4,0,30,6.3,603,2.5,-0.315752727
80,2,1/24/24,13:00:00,4,0,30,-19.35,603,2.5,0.969811948
80,2,1/24/24,17:00:00,4,0,30,-4.85,603,2.5,0.243079481
67,2,1/24/24,9:00:00,5,29,27,-112.6,603,5.31,2.656993176
67,2,1/24/24,12:00:00,5,29,27,-10.1,603,5.31,0.238327097
67,2,1/24/24,16:00:00,5,29,27,0.8,603,5.31,-0.018877394
67,2,1/24/24,9:00:00,6,0,27,2.7,603,5.07,-0.066727119
67,2,1/24/24,12:00:00,6,0,27,-2.8,603,5.07,0.069198494
67,2,1/24/24,16:00:00,6,0,27,0.25,603,5.07,-0.006178437
80,2,1/24/24,9:00:00,7,29,27,16.5,603,4.27,-0.484175309
80,2,1/24/24,13:00:00,7,29,27,11.85,603,4.27,-0.347725904
80,2,1/24/24,17:00:00,7,29,27,2.6,603,4.27,-0.076294291
80,2,1/24/24,9:00:00,8,0,27,6.45,603,2.23,-0.362411042
80,2,1/24/24,13:00:00,8,0,27,6.65,603,2.23,-0.373648594
80,2,1/24/24,17:00:00,8,0,27,-1.75,603,2.23,0.098328577
67,3,1/25/24,9:00:00,1,29,30,11.65,603,5.85,-0.249526474
67,3,1/25/24,12:00:00,1,29,30,-9.7,603,5.85,0.20776024
67,3,1/25/24,16:00:00,1,29,30,1.45,603,5.85,-0.031056943
67,3,1/25/24,9:00:00,2,0,30,-23.9,603,6.92,0.432751295
67,3,1/25/24,12:00:00,2,0,30,-11,603,6.92,0.199174236
67,3,1/25/24,16:00:00,2,0,30,17.65,603,6.92,-0.319584115
80,3,1/25/24,9:00:00,3,29,30,-2.45,603,4.06,0.075611285
80,3,1/25/24,13:00:00,3,29,30,-5.5,603,4.06,0.16973962
80,3,1/25/24,17:00:00,3,29,30,-17.4,603,4.06,0.536994434
80,3,1/25/24,9:00:00,4,0,30,-9.5,603,2.5,0.476135065
80,3,1/25/24,13:00:00,4,0,30,-7.6,603,2.5,0.380908052
80,3,1/25/24,17:00:00,4,0,30,-13.95,603,2.5,0.699166753
67,3,1/25/24,9:00:00,5,29,27,0.65,603,5.31,-0.015337882
67,3,1/25/24,12:00:00,5,29,27,-50.45,603,5.31,1.190455646
