"","Recovery.Phase","Trial","Genotype","Treatment","Coral.ID","Replicate","alpha","ETRm","Fv.Fm","Y.NPQ.","Days.Post.Experiment"
"1","0",6,90,"High Temp High NTU","90-4",1,0.364,71.803,0.62,0.493,0
"2","0",6,90,"High Temp High NTU","90-4",2,0.326,82.692,0.625,0.499,0
"3","0",6,84,"High Temp High NTU","84-1",1,0.275,111.894,0.696,0.188,0
"4","0",6,84,"High NTU","84-8",2,0.247,128.761,0.678,0.154,0
"5","0",6,84,"Control","84-5",1,0.253,124.153,0.678,0.247,0
"6","0",6,84,"Control","84-5",2,0.248,122.258,0.669,0.237,0
"7","0",6,84,"High Temp","84-9",1,0.247,111.358,0.659,0.157,0
"8","0",6,84,"High Temp","84-9",2,0.259,95.813,0.688,0.153,0
"9","0",6,84,"High Temp High NTU","84-1",2,0.35,60.493,0.708,0.35,0
"10","0",6,90,"High NTU","90-3",1,0.372,62.119,0.632,0.515,0
"11","0",6,90,"High NTU","90-3",2,0.37,74.036,0.654,0.498,0
"12","0",6,90,"High Temp","90-6",1,0.245,56.492,0.633,0.501,0
"13","0",6,90,"High Temp","90-6",2,0.345,49.618,0.624,0.522,0
"14","0",6,90,"Control","90-7",1,0.24,148.223,0.648,0.282,0
"15","0",6,90,"Control","90-7",2,0.243,124.901,0.652,0.293,0
"16","0",6,84,"High NTU","84-8",1,0.245,136.744,0.671,0.167,0
"17","0",7,101,"High NTU","101-6",1,0.194,85.484,0.665,0.296,0
"18","0",7,101,"High NTU","101-6",2,0.238,93.335,0.685,0.255,0
"19","0",7,101,"Control","101-15",1,0.233,123.218,0.648,0.233,0
"20","0",7,101,"Control","101-15",2,0.237,84.154,0.668,0.277,0
"21","0",7,101,"High Temp High NTU","101-12",1,0.222,78.596,0.659,0.274,0
"22","0",7,101,"High Temp High NTU","101-12",2,0.247,73.973,0.712,0.207,0
"23","0",7,101,"High Temp","101-13",1,0.226,86.838,0.651,0.244,0
"24","0",7,101,"High Temp","101-13",2,0.21,89.83,0.652,0.263,0
"25","0",7,97,"High NTU","97-8",1,0.187,86.558,0.667,0.296,0
"26","0",7,97,"High NTU","97-8",2,0.236,83.462,0.666,0.325,0
"27","0",7,97,"High Temp High NTU","97-4",1,0.226,69.866,0.682,0.213,0
"28","0",7,97,"High Temp High NTU","97-4",2,0.174,66.176,0.659,0.266,0
"29","0",7,97,"Control","97-9",1,0.23,78.983,0.665,0.257,0
"30","0",7,97,"Control","97-9",2,0.213,89.602,0.651,0.322,0
"31","0",7,97,"High Temp","97-6",1,0.238,76.476,0.692,0.22,0
