Rec.Trial,Trial,Recovery Phase,Genotype,Treatment,Coral ID,Replicate,alpha,ETRm,Fv/Fm,Y(NPQ)
1.5,6,a,84,NT,84-1,1,0.275,116.106,0.694,0.196
,6,a,84,NT,84-1,2,0.28,119.739,0.708,0.203
,6,a,84,T,84-9,1,0.249,106.644,0.645,0.225
,6,a,84,T,84-9,2,0.266,106.531,0.707,0.166
,6,a,84,0,84-5,1,0.244,121.324,0.626,0.27
,6,a,84,0,84-5,2,0.196,121.457,0.649,0.26
,6,a,84,N,84-8,1,0.241,131.712,0.624,0.244
,6,a,84,N,84-8,2,0.243,119.476,0.638,0.245
1.6,6,a,90,T,90-6,1,0.161,134.044,0.599,0.378
,6,a,90,T,90-6,2,0.234,143.78,0.636,0.307
,6,a,90,N,90-3,1,0.235,122.93,0.642,0.307
,6,a,90,N,90-3,2,0.229,129.802,0.622,0.351
,6,a,90,NT,90-4,1,0.226,140.326,0.603,0.311
,6,a,90,NT,90-4,2,0.335,87.926,0.615,0.516
,6,a,90,0,90-7,1,0.343,89.904,0.62,0.516
,6,a,90,0,90-7,2,0.379,74.312,0.626,0.518
1.7,6,0,90,NT,90-4,1,0.364,71.803,0.62,0.493
,6,0,90,NT,90-4,2,0.326,82.692,0.625,0.499
,6,0,84,NT,84-1,1,0.275,111.894,0.696,0.188
,6,0,84,NT,84-1,2,0.35,60.493,0.708,0.35
,6,0,90,N,90-3,1,0.372,62.119,0.632,0.515
,6,0,90,N,90-3,2,0.37,74.036,0.654,0.498
,6,0,90,T,90-6,1,0.245,56.492,0.633,0.501
,6,0,90,T,90-6,2,0.345,49.618,0.624,0.522
1.8,6,0,90,0,90-7,1,0.24,148.223,0.648,0.282
,6,0,90,0,90-7,2,0.243,124.901,0.652,0.293
,6,0,84,N,84-8,1,0.245,136.744,0.671,0.167
,6,0,84,N,84-8,2,0.247,128.761,0.678,0.154
,6,0,84,0,84-5,1,0.253,124.153,0.678,0.247
,6,0,84,0,84-5,2,0.248,122.258,0.669,0.237
,6,0,84,T,84-9,1,0.247,111.358,0.659,0.157
,6,0,84,T,84-9,2,0.259,95.813,0.688,0.153
2.5,6,1,90,0,90-7,1,0.248,143.867,0.659,0.332
,6,1,90,T,90-6,1,0.241,137.341,0.65,0.363
,6,1,90,NT,90-4,1,0.243,133.927,0.65,0.347
,6,1,90,N,90-3,1,0.231,135.333,0.637,0.36
,6,1,84,0,84-5,1,0.271,109.371,0.687,0.2
,6,1,84,NT,84-1,1,0.225,101.863,0.698,0.166
,6,1,84,N,84-8,1,0.27,106.449,0.687,0.188
,6,1,84,T,84-9,1,0.259,80.309,0.713,0.159
2.6,6,2,84,0,84-5,1,0.269,87.995,0.7,0.194
,6,2,90,N,90-3,1,0.228,97.628,0.648,0.34
,6,2,90,NT,90-4,1,0.227,95.906,0.649,0.342
,6,2,90,T,90-6,1,0.23,95.422,0.653,0.347
,6,2,90,0,90-7,1,0.23,92.017,0.666,0.334
,6,2,84,T,84-9,1,0.244,62.982,0.702,0.191
,6,2,84,NT,84-1,1,0.243,79.746,0.68,0.203
,6,2,84,N,84-8,1,0.243,77.747,0.669,0.202
2.7,6,3,84,N,84-8,1,0.256,74.746,0.677,0.224
,6,3,84,0,84-5,1,0.206,71.365,0.697,0.223
,6,3,84,T,84-9,1,0.257,55.703,0.714,0.236
,6,3,84,NT,84-1,1,0.205,72.432,0.69,0.209
,6,3,90,0,90-7,1,0.156,73.819,0.642,0.41
,6,3,90,NT,90-4,1,0.163,71.606,0.637,0.413
,6,3,90,N,90-3,1,0.212,72.34,0.652,0.424
,6,3,90,T,90-6,1,0.166,68.425,0.646,0.385
2.8,6,4,84,NT,84-1,1,0.144,25.836,0.62,0.278
,6,4,84,0,84-5,1,0.145,24.216,0.624,0.331
,6,4,84,T,84-9,1,0.159,16.17,0.635,0.341
,6,4,84,N,84-8,1,0.146,18.885,0.554,0.333
,6,4,90,0,90-7,1,0.142,30.382,0.646,0.456
,6,4,90,NT,90-4,1,0.183,24.409,0.658,0.44
,6,4,90,T,90-6,1,0.176,25.051,0.637,0.469
,6,4,90,N,90-3,1,0.174,25.242,0.636,0.436
3.5,7,a,101,0,101-15,1,0.182,98.292,0.634,0.311
,7,a,101,0,101-15,2,0.254,102.254,0.668,0.285
,7,a,101,NT,101-12,1,0.209,89.409,0.674,0.262
,7,a,101,NT,101-12,2,0.195,97.424,0.67,0.274
,7,a,101,N,101-6,1,0.246,84.332,0.684,0.204
,7,a,101,N,101-6,2,0.275,93.778,0.694,0.192
,7,a,101,T,101-13,1,0.241,111.008,0.651,0.266
,7,a,101,T,101-13,2,0.237,109.87,0.673,0.263
3.6,7,a,97,T,97-6,1,0.275,85.575,0.716,0.188
,7,a,97,T,97-6,2,0.27,88.859,0.725,0.2
,7,a,97,0,97-9,1,0.276,92.75,0.702,0.181
,7,a,97,0,97-9,2,0.284,87.58,0.735,0.17
,7,a,97,NT,97-4,1,0.269,88.323,0.721,0.168
,7,a,97,NT,97-4,2,0.267,83.661,0.708,0.182
,7,a,97,N,97-8,1,0.276,90.345,0.723,0.147
,7,a,97,N,97-8,2,0.265,91.888,0.723,0.142
3.7,7,0,101,N,101-6,1,0.194,85.484,0.665,0.296
3.7,7,0,101,N,101-6,2,0.238,93.335,0.685,0.255
3.7,7,0,101,0,101-15,1,0.233,123.218,0.648,0.233
3.7,7,0,101,0,101-15,2,0.237,84.154,0.668,0.277
3.7,7,0,101,NT,101-12,1,0.222,78.596,0.659,0.274
3.7,7,0,101,NT,101-12,2,0.247,73.973,0.712,0.207
3.7,7,0,101,T,101-13,1,0.226,86.838,0.651,0.244
3.7,7,0,101,T,101-13,2,0.21,89.83,0.652,0.263
3.8,7,0,97,N,97-8,1,0.187,86.558,0.667,0.296
3.8,7,0,97,N,97-8,2,0.236,83.462,0.666,0.325
3.8,7,0,97,NT,97-4,1,0.226,69.866,0.682,0.213
