Trial,Recovery Phase,Genotype,Treatment,Coral ID,Replicate,alpha,ETRm,Fv/Fm,Y(NPQ)
2,a,90,15,90-8,1,0.208,147.387,0.649,0.25
2,a,90,15,90-8,2,0.21,164.943,0.653,0.258
2,a,90,29,90-2,1,0.209,144.126,0.66,0.272
2,a,90,29,90-2,2,0.25,134.176,0.46,0.298
2,a,90,0,90-10,1,0.21,149.386,0.643,0.247
2,a,90,0,90-10,2,0.246,130.894,0.633,0.26
2,a,90,x,90-9,1,0.246,144.683,0.639,0.269
2,a,90,x,90-9,2,0.245,146.279,0.649,0.291
2,a,90,50,90-5,1,0.239,149.774,0.623,0.302
2,a,90,50,90-5,2,0.237,136.412,0.67,0.33
2,a,84,x,84-3,1,0.251,114.516,0.679,0.294
2,a,84,x,84-3,2,0.244,116.588,0.676,0.293
2,a,84,0,84-7,1,0.195,105.668,0.59,0.384
2,a,84,0,84-7,2,0.162,133.13,0.613,0.322
2,a,84,50,84-2,1,0.259,118.064,0.676,0.209
2,a,84,50,84-2,2,0.255,113.256,0.675,0.237
2,a,84,29,84-4,1,0.254,112.853,0.666,0.319
2,a,84,29,84-4,2,0.236,127.164,0.66,0.293
2,a,84,15,84-6,1,0.248,117.866,0.648,0.245
2,a,84,15,84-6,2,0.262,118.683,0.663,0.207
2,0,90,29,90-2,1,0.258,151.533,0.672,0.282
2,0,90,29,90-2,2,0.253,162.491,0.668,0.257
2,0,90,50,90-5,1,0.258,178.847,0.659,0.245
2,0,90,50,90-5,2,0.255,154.908,0.679,0.223
2,0,90,15,90-8,1,0.247,161.907,0.65,0.245
2,0,90,15,90-8,2,0.213,164.23,0.652,0.25
2,0,90,0,90-10,1,0.241,154.747,0.643,0.246
2,0,90,0,90-10,2,0.207,162.857,0.647,0.267
2,0,84,0,84-7,1,0.261,139.683,0.666,0.231
2,0,84,0,84-7,2,0.228,137.471,0.669,0.311
2,0,84,50,84-2,1,0.258,140.925,0.679,0.186
2,0,84,50,84-2,2,0.256,120.435,0.693,0.215
2,0,84,15,84-6,1,0.256,153.08,0.682,0.189
2,0,84,15,84-6,2,0.272,155.694,0.699,0.159
2,0,84,29,84-4,1,0.275,147.75,0.69,0.222
2,0,84,29,84-4,2,0.217,142.355,0.697,0.221
2,1,84,15,84-6,1,0.247,110.507,0.664,0.263
2,1,84,29,84-4,1,0.206,113.52,0.665,0.244
2,1,84,50,84-2,1,0.251,107.377,0.646,0.26
2,1,84,0,84-7,1,0.208,124.496,0.643,0.263
