"","bf","error","time","code"
"Day.of.Exp + ID",8059306.75603316,0.00807167608876735,"Tue Oct 29 13:29:21 2024","7435b97c698"
"Temperature + ID",643.332320557732,0.0183532724423993,"Tue Oct 29 13:29:21 2024","743496f5422"
"Day.of.Exp + Temperature + ID",6501104480.44019,0.0244636090922199,"Tue Oct 29 13:29:21 2024","7432bfca9d8"
"Day.of.Exp + Temperature + Day.of.Exp:Temperature + ID",7091948675.55657,0.0257317995824124,"Tue Oct 29 13:29:21 2024","74358f2ba77"
"Turbidity + ID",1.36277731941721,0.0121422475831187,"Tue Oct 29 13:29:21 2024","74327b00840"
"Day.of.Exp + Turbidity + ID",11748105.5107617,0.00780392206388134,"Tue Oct 29 13:29:21 2024","74315edb61b"
"Temperature + Turbidity + ID",2437.51778599219,0.00544088755275507,"Tue Oct 29 13:29:21 2024","743294eb1dc"
"Day.of.Exp + Temperature + Turbidity + ID",25635806752.0712,0.00765002628232126,"Tue Oct 29 13:29:21 2024","7436d7ef7b3"
"Day.of.Exp + Temperature + Day.of.Exp:Temperature + Turbidity + ID",29569548321.6973,0.0148926022734187,"Tue Oct 29 13:29:21 2024","7432ab840ee"
"Day.of.Exp + Turbidity + Day.of.Exp:Turbidity + ID",115291540.846257,0.00658076383442343,"Tue Oct 29 13:29:21 2024","74326aedf2b"
"Day.of.Exp + Temperature + Turbidity + Day.of.Exp:Turbidity + ID",210120706061.453,0.00789044932533304,"Tue Oct 29 13:29:21 2024","74322bd93e4"
"Day.of.Exp + Temperature + Day.of.Exp:Temperature + Turbidity + Day.of.Exp:Turbidity + ID",307960135426.489,0.025994996397273,"Tue Oct 29 13:29:21 2024","7434c386f8d"
"Temperature + Turbidity + Temperature:Turbidity + ID",659.544641049373,0.00339720976830653,"Tue Oct 29 13:29:21 2024","743d23b913"
"Day.of.Exp + Temperature + Turbidity + Temperature:Turbidity + ID",7218888832.14716,0.00705774065928548,"Tue Oct 29 13:29:21 2024","743244b9522"
"Day.of.Exp + Temperature + Day.of.Exp:Temperature + Turbidity + Temperature:Turbidity + ID",9219268201.09727,0.0088056433843813,"Tue Oct 29 13:29:21 2024","7435e2bfdcb"
"Day.of.Exp + Temperature + Turbidity + Day.of.Exp:Turbidity + Temperature:Turbidity + ID",67064090862.9792,0.0128113638405981,"Tue Oct 29 13:29:21 2024","7431a234aba"
"Day.of.Exp + Temperature + Day.of.Exp:Temperature + Turbidity + Day.of.Exp:Turbidity + Temperature:Turbidity + ID",95577803510.6535,0.0268799052707338,"Tue Oct 29 13:29:21 2024","7432ff06be"
"Day.of.Exp + Temperature + Day.of.Exp:Temperature + Turbidity + Day.of.Exp:Turbidity + Temperature:Turbidity + Day.of.Exp:Temperature:Turbidity +     ID",17301997690.4131,0.0206116425754745,"Tue Oct 29 13:29:21 2024","7433513a57b"
"Genotype + ID",0.509991938809154,0.0160151311171657,"Tue Oct 29 13:29:21 2024","7431cd54976"
"Day.of.Exp + Genotype + ID",4753247.64740205,0.056503582497373,"Tue Oct 29 13:29:21 2024","74376c9f0c3"
"Temperature + Genotype + ID",1142.12545132748,0.023789238429212,"Tue Oct 29 13:29:21 2024","74343ddcf22"
"Day.of.Exp + Temperature + Genotype + ID",13030141791.0869,0.0455075808728097,"Tue Oct 29 13:29:21 2024","7431749e3fd"
