"","AutoResp.Cycle.Loop","Chamber","MO2 no Background Correction","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","Trial"
"1",13,2,-0.0127336874020947,1,0.014774138,"High Temp",67,"day",1,10
"2",14,2,-0.0266846878270159,2,0.000925502,"High Temp",67,"day",1,10
"3",15,2,-0.0187943014438438,3,0.008772868,"High Temp",67,"day",1,10
"4",16,2,-0.007421250097407,4,0.020029334,"High Temp",67,"day",1,10
"5",17,2,-0.0203088347064906,5,0.007259366,"High Temp",67,"day",1,10
"6",18,2,-0.0242066906323039,6,0.003395614,"High Temp",67,"day",1,10
"7",19,2,-0.024959428983744,7,0.002652715,"High Temp",67,"day",1,10
"8",20,2,-0.021897596910409,8,0.005673201,"High Temp",67,"day",1,10
"9",21,2,-0.0158736328393173,9,0.011656054,"High Temp",67,"day",1,10
"10",22,2,-0.012115916275793,10,0.015384341,"High Temp",67,"day",1,10
"11",23,2,-0.012125404787696,11,0.015370149,"High Temp",67,"day",1,10
"12",24,2,-0.0116079091356083,12,0.015885878,"High Temp",67,"day",1,10
"13",25,2,-0.0340389006597727,13,-0.006333506,"High Temp",67,"night",1,10
"14",26,2,-0.0279375447838859,14,-0.000285432,"High Temp",67,"night",1,10
"15",27,2,-0.0284342255899491,15,-0.000777343,"High Temp",67,"night",1,10
"16",28,2,-0.0293088531882181,16,-0.001644709,"High Temp",67,"night",1,10
"17",29,2,-0.030314915774353,17,-0.002644321,"High Temp",67,"night",1,10
"18",30,2,-0.0306044809585549,18,-0.002929817,"High Temp",67,"night",1,10
"19",31,2,-0.0341328847444219,19,-0.006435206,"High Temp",67,"night",1,10
"20",32,2,-0.0302495412619021,20,-0.002576914,"High Temp",67,"night",1,10
"21",33,2,-0.0302303713503455,21,-0.002561859,"High Temp",67,"night",1,10
"22",34,2,-0.0301493083063789,22,-0.002479223,"High Temp",67,"night",1,10
"23",35,2,-0.0294788530611289,23,-0.001817679,"High Temp",67,"night",1,10
"24",36,2,-0.0297041753357742,24,-0.002047237,"High Temp",67,"night",1,10
"25",37,2,-0.0409664751690223,25,-0.01323369,"High Temp",67,"day ",2,10
"26",38,2,-0.0474877129085487,26,-0.01969183,"High Temp",67,"day",2,10
"27",39,2,-0.0383777657938597,27,-0.010663128,"High Temp",67,"day ",2,10
"28",40,2,-0.0293977700754637,28,-0.001762829,"High Temp",67,"day",2,10
"29",41,2,-0.032505220770551,29,-0.004838096,"High Temp",67,"day ",2,10
"30",42,2,-0.0354954908196334,30,-0.007803494,"High Temp",67,"day",2,10
"31",43,2,-0.0336693038540135,31,-0.005990766,"High Temp",67,"day ",2,10
"32",44,2,0.000857583109917093,32,0.028265741,"High Temp",67,"day",2,10
"33",45,2,-0.0187883695948444,33,0.008763224,"High Temp",67,"day ",2,10
"34",46,2,-0.018742473677284,34,0.008816049,"High Temp",67,"day",2,10
"35",47,2,-0.0211159215417206,35,0.006463503,"High Temp",67,"day ",2,10
"36",48,2,-0.0221332947288818,36,0.005455618,"High Temp",67,"day",2,10
"37",49,2,-0.0631991091742695,37,-0.035236608,"High Temp",67,"night ",2,10
"38",50,2,-0.0558903261661189,38,-0.027987367,"High Temp",67,"night ",2,10
"39",51,2,-0.0544631554788804,39,-0.026564934,"High Temp",67,"night ",2,10
"40",52,2,-0.0556613237631031,40,-0.027758992,"High Temp",67,"night ",2,10
"41",53,2,-0.0564543383277192,41,-0.028548335,"High Temp",67,"night ",2,10
"42",54,2,-0.0528869808526849,42,-0.025008307,"High Temp",67,"night ",2,10
"43",55,2,-0.0541538740513797,43,-0.026259513,"High Temp",67,"night ",2,10
"44",56,2,-0.0554077863842964,44,-0.027508317,"High Temp",67,"night ",2,10
"45",57,2,-0.0723087170047534,45,-0.044260081,"High Temp",67,"night ",2,10
"46",58,2,-0.0617747314654786,46,-0.033824477,"High Temp",67,"night ",2,10
"47",59,2,-0.0613216598502096,47,-0.033373394,"High Temp",67,"night ",2,10
"48",60,2,-0.0656439034802177,48,-0.037679065,"High Temp",67,"night ",2,10
"49",61,2,-0.0183573395350567,49,0.009210684,"High Temp",67,"day ",3,10
"50",62,2,-0.0212264469309938,50,0.006358247,"High Temp",67,"day",3,10
"51",63,2,-0.0105255721877864,51,0.016966155,"High Temp",67,"day ",3,10
"52",64,2,-0.0203431940564405,52,0.00722726,"High Temp",67,"day",3,10
"53",65,2,-0.024635284500917,53,0.002975932,"High Temp",67,"day ",3,10
"54",66,2,-0.00479112822557816,54,0.022654235,"High Temp",67,"day",3,10
