"","AutoResp.Cycle.Loop","Chamber","MO2 no Background Correction","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","Trial"
"1",13,4,-0.00473159311443719,4,1,0.024247426,"High Temp",80,"day",1,10
"2",14,4,-0.0152985906729715,4,2,0.013775039,"High Temp",80,"day",1,10
"3",15,4,-0.0117254206714392,4,3,0.017335614,"High Temp",80,"day",1,10
"4",16,4,-0.00523466610566579,4,4,0.023744893,"High Temp",80,"day",1,10
"5",17,4,-0.00942408718644733,4,5,0.019598589,"High Temp",80,"day",1,10
"6",18,4,-0.0126251964379195,4,6,0.016439729,"High Temp",80,"day",1,10
"7",19,4,-0.0147669730006039,4,7,0.014315485,"High Temp",80,"day",1,10
"8",20,4,-0.0142059662268272,4,8,0.014871108,"High Temp",80,"day",1,10
"9",21,4,-0.0108937830985939,4,9,0.018151012,"High Temp",80,"day",1,10
"10",22,4,-0.0103874070155824,4,10,0.018646256,"High Temp",80,"day",1,10
"11",23,4,-0.009590986520934,4,11,0.019435476,"High Temp",80,"day",1,10
"12",24,4,-0.0113098289611158,4,12,0.017733652,"High Temp",80,"day",1,10
"13",25,4,-0.0237643751891555,4,13,0.005421493,"High Temp",80,"night",1,10
"14",26,4,-0.0239735312706669,4,14,0.005208036,"High Temp",80,"night",1,10
"15",27,4,-0.0237708967720987,4,15,0.005408201,"High Temp",80,"night",1,10
"16",28,4,-0.0220587215250705,4,16,0.007108521,"High Temp",80,"night",1,10
"17",29,4,-0.0234408672169651,4,17,0.005734386,"High Temp",80,"night",1,10
"18",30,4,-0.025107056301488,4,18,0.004089525,"High Temp",80,"night",1,10
"19",31,4,-0.0238264608203448,4,19,0.005356613,"High Temp",80,"night",1,10
"20",32,4,-0.0236734077629244,4,20,0.005506031,"High Temp",80,"night",1,10
"21",33,4,-0.0266613277332719,4,21,0.002550502,"High Temp",80,"night",1,10
"22",34,4,-0.0255092779663674,4,22,0.003691095,"High Temp",80,"night",1,10
"23",35,4,-0.0250406829997446,4,23,0.004149735,"High Temp",80,"night",1,10
"24",36,4,-0.0254750144665382,4,24,0.003725786,"High Temp",80,"night",1,10
"25",37,4,-0.0106830740232342,4,25,0.018356974,"High Temp",80,"day ",2,10
"26",38,4,-0.0185294556037693,4,26,0.010588115,"High Temp",80,"day",2,10
"27",39,4,-0.0173975710171765,4,27,0.011707976,"High Temp",80,"day ",2,10
