"","Cycle","Chamber","MO2 no Background Correction","NA","NA","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1"
"1",12,1,-0.0141802401551254,1,1,1,1,0.02479285,"High Temp High NTU",84,"day",1,NA,"Exp starts at cycle 12"
"2",13,1,-0.0256522616164399,1,1,1,2,0.012493253,"High Temp High NTU",84,"day",1,NA,"Lights on/off at 8:00 am/pm"
"3",14,1,-0.0288204996510201,1,1,1,3,0.012560545,"High Temp High NTU",84,"day",1,NA,""
"4",15,1,-0.0267318776479208,1,1,1,4,0.015442465,"High Temp High NTU",84,"day",1,NA,""
"5",16,1,-0.0206653114982185,1,1,1,5,0.01660904,"High Temp High NTU",84,"day",1,NA,""
"6",17,1,-0.0237479818845762,1,1,1,6,0.015379966,"High Temp High NTU",84,"day",1,NA,""
"7",18,1,-0.00656830115421671,1,1,1,7,0.028458318,"High Temp High NTU",84,"day",1,NA,""
"8",19,1,-0.0095879300021729,1,1,1,8,0.025368035,"High Temp High NTU",84,"day",1,NA,""
"9",20,1,-0.0260429651955374,1,1,1,9,0.01228215,"High Temp High NTU",84,"day",1,NA,""
"10",21,1,-0.0204994868101068,1,1,1,10,0.017479311,"High Temp High NTU",84,"day",1,NA,""
"11",22,1,-0.0176995273251195,1,1,1,11,0.017207253,"High Temp High NTU",84,"day",1,NA,""
"12",23,1,-0.0187577029764899,1,1,1,12,0.017875361,"High Temp High NTU",84,"day",1,NA,""
"13",24,1,-0.0345471168163604,1,1,1,13,0.006540295,"High Temp High NTU",84,"night",1,NA,""
"14",25,1,-0.02830399459217,1,1,1,14,0.013002306,"High Temp High NTU",84,"night",1,NA,""
"15",26,1,-0.00825004430723851,1,1,1,15,0.031479828,"High Temp High NTU",84,"night",1,NA,""
"16",27,1,-0.0107286279024524,1,1,1,16,0.028417916,"High Temp High NTU",84,"night",1,NA,""
"17",28,1,-0.0151976971376989,1,1,1,17,0.024174305,"High Temp High NTU",84,"night",1,NA,""
"18",29,1,-0.0124138187561888,1,1,1,18,0.027484102,"High Temp High NTU",84,"night",1,NA,""
"19",30,1,-0.0133760677768749,1,1,1,19,0.026130945,"High Temp High NTU",84,"night",1,NA,""
"20",31,1,-0.0139363356327129,1,1,1,20,0.025610665,"High Temp High NTU",84,"night",1,NA,""
"21",32,1,-0.0146332660091221,1,1,1,21,0.025169355,"High Temp High NTU",84,"night",1,NA,""
"22",33,1,-0.0118140985128243,1,1,1,22,0.027602662,"High Temp High NTU",84,"night",1,NA,""
"23",34,1,-0.0126503120454249,1,1,1,23,0.027078081,"High Temp High NTU",84,"night",1,NA,""
"24",35,1,-0.0156627391515555,1,1,1,24,0.020892827,"High Temp High NTU",84,"night",1,NA,""
"25",36,1,-0.0214429548990554,1,1,1,25,0.019052426,"High Temp High NTU",84,"day",2,NA,""
"26",38,1,-0.0132888929603282,1,1,1,27,0.023761536,"High Temp High NTU",84,"day",2,NA,""
"27",39,1,-0.0190842028808564,1,1,1,28,0.01875839,"High Temp High NTU",84,"day",2,NA,""
"28",40,1,-0.0180524619349216,1,1,1,29,0.020876215,"High Temp High NTU",84,"day",2,NA,""
"29",41,1,-0.018051840582637,1,1,1,30,0.020162426,"High Temp High NTU",84,"day",2,NA,""
"30",42,1,-0.0182347034420137,1,1,1,31,0.019892029,"High Temp High NTU",84,"day",2,NA,""
"31",43,1,-0.0200110272120186,1,1,1,32,0.017909858,"High Temp High NTU",84,"day",2,NA,""
"32",44,1,-0.0281503460859857,1,1,1,33,0.010963966,"High Temp High NTU",84,"day",2,NA,""
"33",45,1,-0.0282525305024177,1,1,1,34,0.008297147,"High Temp High NTU",84,"day",2,NA,""
"34",46,1,-0.011032688638258,1,1,1,35,0.025233806,"High Temp High NTU",84,"day",2,NA,""
"35",47,1,-0.0156926610147241,1,1,1,36,0.021024002,"High Temp High NTU",84,"day",2,NA,""
"36",48,1,-0.0351826729659161,1,1,1,37,0.005480252,"High Temp High NTU",84,"night",2,NA,""
"37",49,1,-0.0389152979358192,1,1,1,38,0.00164584,"High Temp High NTU",84,"night",2,NA,""
"38",50,1,-0.0296529955697311,1,1,1,39,0.008568269,"High Temp High NTU",84,"night",2,NA,""
"39",51,1,-0.030564562101382,1,1,1,40,0.008322112,"High Temp High NTU",84,"night",2,NA,""
"40",52,1,-0.0338086423254366,1,1,1,41,0.005706081,"High Temp High NTU",84,"night",2,NA,""
"41",53,1,-0.0331153267935756,1,1,1,42,0.007096928,"High Temp High NTU",84,"night",2,NA,""
"42",54,1,-0.0348849286790082,1,1,1,43,0.004931005,"High Temp High NTU",84,"night",2,NA,""
"43",55,1,-0.0334585456434635,1,1,1,44,0.006756442,"High Temp High NTU",84,"night",2,NA,""
"44",56,1,-0.0345044955391492,1,1,1,45,0.005492654,"High Temp High NTU",84,"night",2,NA,""
"45",57,1,-0.0322238903416374,1,1,1,46,0.007876999,"High Temp High NTU",84,"night",2,NA,""
"46",58,1,-0.0343888699132297,1,1,1,47,0.005289865,"High Temp High NTU",84,"night",2,NA,""
"47",59,1,-0.0335734081434661,1,1,1,48,0.005319022,"High Temp High NTU",84,"night",2,NA,""
"48",60,1,-0.0158047550981168,1,1,1,49,0.020107844,"High Temp High NTU",84,"day",3,NA,""
"49",61,1,-0.0194745746971169,1,1,1,50,0.018934309,"High Temp High NTU",84,"day",3,NA,""
