"","Cycle","Chamber","MO2 no Background Correction","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1"
"1",12,3,-0.00372297149076493,3,1,0.007534907,"High Temp High NTU",90,"day",1,NA,""
"2",13,3,-0.00673486115458927,3,2,0.006566707,"High Temp High NTU",90,"day",1,NA,""
"3",14,3,-0.00644913764556076,3,3,0.007441314,"High Temp High NTU",90,"day",1,NA,""
"4",15,3,-0.00434682050428385,3,4,0.009117081,"High Temp High NTU",90,"day",1,NA,""
"5",16,3,-0.00407129961347064,3,5,0.008448084,"High Temp High NTU",90,"day",1,NA,""
"6",18,3,-0.00685428783768911,3,7,0.005452196,"High Temp High NTU",90,"day",1,NA,""
"7",19,3,-0.00609281807147608,3,8,0.006424824,"High Temp High NTU",90,"day",1,NA,""
"8",20,3,-0.00641155490695307,3,9,0.006072431,"High Temp High NTU",90,"day",1,NA,""
"9",21,3,-0.0101615174077077,3,10,0.003561213,"High Temp High NTU",90,"day",1,NA,""
"10",23,3,-0.0113568878884776,3,12,0.001701228,"High Temp High NTU",90,"day",1,NA,""
"11",24,3,-0.0398230311548269,3,13,-0.022102855,"High Temp High NTU",90,"night",1,NA,""
"12",25,3,-0.0351081538403022,3,14,-0.01731615,"High Temp High NTU",90,"night",1,NA,""
"13",26,3,-0.0328050381845727,3,15,-0.014705185,"High Temp High NTU",90,"night",1,NA,""
"14",27,3,-0.0323362881800414,3,16,-0.014387529,"High Temp High NTU",90,"night",1,NA,""
"15",28,3,-0.0436332198230145,3,17,-0.025685253,"High Temp High NTU",90,"night",1,NA,""
"16",29,3,-0.0356259518047793,3,18,-0.017936605,"High Temp High NTU",90,"night",1,NA,""
"17",30,3,-0.0363948846287351,3,19,-0.018419391,"High Temp High NTU",90,"night",1,NA,""
"18",31,3,-0.035959135560147,3,20,-0.018060532,"High Temp High NTU",90,"night",1,NA,""
"19",32,3,-0.0364167996717642,3,21,-0.018771021,"High Temp High NTU",90,"night",1,NA,""
"20",33,3,-0.0360679982681477,3,22,-0.018239076,"High Temp High NTU",90,"night",1,NA,""
"21",34,3,-0.036168133010073,3,23,-0.018509914,"High Temp High NTU",90,"night",1,NA,""
"22",35,3,-0.0393575425072566,3,24,-0.024102178,"High Temp High NTU",90,"night",1,NA,""
"23",36,3,-0.0237598179636235,3,25,-0.007857638,"High Temp High NTU",90,"day",2,NA,""
"24",38,3,-0.0158015752627088,3,27,-0.002779073,"High Temp High NTU",90,"day",2,NA,""
"25",39,3,-0.0168185935775361,3,28,-0.004079533,"High Temp High NTU",90,"day",2,NA,""
"26",40,3,-0.0173236666445623,3,29,-0.004538306,"High Temp High NTU",90,"day",2,NA,""
"27",41,3,-0.0148939258163723,3,30,-0.001552678,"High Temp High NTU",90,"day",2,NA,""
"28",42,3,-0.0131383754272882,3,31,7.68509e-05,"High Temp High NTU",90,"day",2,NA,""
"29",43,3,-0.0133816912256886,3,32,9.95494e-06,"High Temp High NTU",90,"day",2,NA,""
"30",44,3,-0.0135847380936609,3,33,-0.000851309,"High Temp High NTU",90,"day",2,NA,""
"31",45,3,-0.0132886423514676,3,34,0.00014961,"High Temp High NTU",90,"day",2,NA,""
"32",46,3,-0.00590344777366949,3,35,0.006706082,"High Temp High NTU",90,"day",2,NA,""
"33",47,3,-0.00901174394153915,3,36,0.004099774,"High Temp High NTU",90,"day",2,NA,""
"34",48,3,-0.0207959070061375,3,37,-0.005021949,"High Temp High NTU",90,"night",2,NA,""
"35",49,3,-0.0108930208957037,3,38,0.004236389,"High Temp High NTU",90,"night",2,NA,""
"36",50,3,-0.0120193322497331,3,39,0.003007818,"High Temp High NTU",90,"night",2,NA,""
"37",51,3,-0.0122989374120937,3,40,0.002499215,"High Temp High NTU",90,"night",2,NA,""
"38",52,3,-0.0125905349154967,3,41,0.002273271,"High Temp High NTU",90,"night",2,NA,""
"39",53,3,-0.0120883484570967,3,42,0.002855324,"High Temp High NTU",90,"night",2,NA,""
"40",54,3,-0.0126854594726251,3,43,0.002185154,"High Temp High NTU",90,"night",2,NA,""
"41",55,3,-0.0123688832410164,3,44,0.002638191,"High Temp High NTU",90,"night",2,NA,""
"42",56,3,-0.0129875332621391,3,45,0.002108984,"High Temp High NTU",90,"night",2,NA,""
"43",57,3,-0.012548411716353,3,46,0.002523152,"High Temp High NTU",90,"night",2,NA,""
"44",58,3,-0.0130186057986564,3,47,0.002033844,"High Temp High NTU",90,"night",2,NA,""
"45",59,3,-0.0127688863838109,3,48,0.002066427,"High Temp High NTU",90,"night",2,NA,""
"46",60,3,-0.00687163904959487,3,49,0.006238826,"High Temp High NTU",90,"day",3,NA,""
"47",61,3,-0.00816413051311584,3,50,0.005294651,"High Temp High NTU",90,"day",3,NA,""
"48",62,3,-0.0128108198277476,3,51,0.001185349,"High Temp High NTU",90,"day",3,NA,""
"49",63,3,-0.0116128974184918,3,52,0.001712531,"High Temp High NTU",90,"day",3,NA,""
"50",64,3,-0.012649979889618,3,53,0.001357362,"High Temp High NTU",90,"day",3,NA,""
"51",65,3,-0.00874453002776715,3,54,0.00536178,"High Temp High NTU",90,"day",3,NA,""
"52",66,3,-0.0123635760402279,3,55,0.001289337,"High Temp High NTU",90,"day",3,NA,""
"53",67,3,-0.00620733765943743,3,56,0.006892977,"High Temp High NTU",90,"day",3,NA,""
"54",68,3,-0.00738830893210432,3,57,0.005706865,"High Temp High NTU",90,"day",3,NA,""
"55",69,3,-0.0202149722580481,3,58,-0.005623674,"High Temp High NTU",90,"day",3,NA,""
"56",70,3,-0.0196075934869476,3,59,-0.005681731,"High Temp High NTU",90,"day",3,NA,""
"57",71,3,-0.000961542533728037,3,60,0.014536541,"High Temp High NTU",90,"day",3,NA,""
"58",72,3,-0.0202545643817606,3,61,-0.005125599,"High Temp High NTU",90,"night",3,NA,""
"59",73,3,-0.0209043796179551,3,62,-0.004708891,"High Temp High NTU",90,"night",3,NA,""
"60",74,3,-0.0178819306501161,3,63,-0.001816714,"High Temp High NTU",90,"night",3,NA,""
"61",75,3,-0.0161525587602138,3,64,-0.000572514,"High Temp High NTU",90,"night",3,NA,""
