"","X.2","Cycle","Chamber","MO2.no.Background.Correction","NA.","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","Trial"
"1",1,12,1,-0.0141802401551254,1,1,0.02479285,"High Temp High NTU",84,"day",1,NA,"Exp starts at cycle 12",6
"2",2,13,1,-0.0256522616164399,1,2,0.012493253,"High Temp High NTU",84,"day",1,NA,"Lights on/off at 8:00 am/pm",6
"3",3,14,1,-0.0288204996510201,1,3,0.012560545,"High Temp High NTU",84,"day",1,NA,"",6
"4",4,15,1,-0.0267318776479208,1,4,0.015442465,"High Temp High NTU",84,"day",1,NA,"",6
"5",5,16,1,-0.0206653114982185,1,5,0.01660904,"High Temp High NTU",84,"day",1,NA,"",6
"6",6,17,1,-0.0237479818845762,1,6,0.015379966,"High Temp High NTU",84,"day",1,NA,"",6
"7",7,18,1,-0.00656830115421671,1,7,0.028458318,"High Temp High NTU",84,"day",1,NA,"",6
"8",8,19,1,-0.0095879300021729,1,8,0.025368035,"High Temp High NTU",84,"day",1,NA,"",6
"9",9,20,1,-0.0260429651955374,1,9,0.01228215,"High Temp High NTU",84,"day",1,NA,"",6
"10",10,21,1,-0.0204994868101068,1,10,0.017479311,"High Temp High NTU",84,"day",1,NA,"",6
"11",11,22,1,-0.0176995273251195,1,11,0.017207253,"High Temp High NTU",84,"day",1,NA,"",6
"12",12,23,1,-0.0187577029764899,1,12,0.017875361,"High Temp High NTU",84,"day",1,NA,"",6
"13",13,24,1,-0.0345471168163604,1,13,0.006540295,"High Temp High NTU",84,"night",1,NA,"",6
"14",14,25,1,-0.02830399459217,1,14,0.013002306,"High Temp High NTU",84,"night",1,NA,"",6
"15",15,26,1,-0.00825004430723851,1,15,0.031479828,"High Temp High NTU",84,"night",1,NA,"",6
"16",16,27,1,-0.0107286279024524,1,16,0.028417916,"High Temp High NTU",84,"night",1,NA,"",6
"17",17,28,1,-0.0151976971376989,1,17,0.024174305,"High Temp High NTU",84,"night",1,NA,"",6
"18",18,29,1,-0.0124138187561888,1,18,0.027484102,"High Temp High NTU",84,"night",1,NA,"",6
"19",19,30,1,-0.0133760677768749,1,19,0.026130945,"High Temp High NTU",84,"night",1,NA,"",6
"20",20,31,1,-0.0139363356327129,1,20,0.025610665,"High Temp High NTU",84,"night",1,NA,"",6
"21",21,32,1,-0.0146332660091221,1,21,0.025169355,"High Temp High NTU",84,"night",1,NA,"",6
"22",22,33,1,-0.0118140985128243,1,22,0.027602662,"High Temp High NTU",84,"night",1,NA,"",6
"23",23,34,1,-0.0126503120454249,1,23,0.027078081,"High Temp High NTU",84,"night",1,NA,"",6
"24",24,35,1,-0.0156627391515555,1,24,0.020892827,"High Temp High NTU",84,"night",1,NA,"",6
"25",25,36,1,-0.0214429548990554,1,25,0.019052426,"High Temp High NTU",84,"day",2,NA,"",6
"26",26,38,1,-0.0132888929603282,1,27,0.023761536,"High Temp High NTU",84,"day",2,NA,"",6
"27",27,39,1,-0.0190842028808564,1,28,0.01875839,"High Temp High NTU",84,"day",2,NA,"",6
"28",28,40,1,-0.0180524619349216,1,29,0.020876215,"High Temp High NTU",84,"day",2,NA,"",6
"29",29,41,1,-0.018051840582637,1,30,0.020162426,"High Temp High NTU",84,"day",2,NA,"",6
"30",30,42,1,-0.0182347034420137,1,31,0.019892029,"High Temp High NTU",84,"day",2,NA,"",6
"31",31,43,1,-0.0200110272120186,1,32,0.017909858,"High Temp High NTU",84,"day",2,NA,"",6
"32",32,44,1,-0.0281503460859857,1,33,0.010963966,"High Temp High NTU",84,"day",2,NA,"",6
"33",33,45,1,-0.0282525305024177,1,34,0.008297147,"High Temp High NTU",84,"day",2,NA,"",6
"34",34,46,1,-0.011032688638258,1,35,0.025233806,"High Temp High NTU",84,"day",2,NA,"",6
"35",35,47,1,-0.0156926610147241,1,36,0.021024002,"High Temp High NTU",84,"day",2,NA,"",6
"36",36,48,1,-0.0351826729659161,1,37,0.005480252,"High Temp High NTU",84,"night",2,NA,"",6
"37",37,49,1,-0.0389152979358192,1,38,0.00164584,"High Temp High NTU",84,"night",2,NA,"",6
"38",38,50,1,-0.0296529955697311,1,39,0.008568269,"High Temp High NTU",84,"night",2,NA,"",6
"39",39,51,1,-0.030564562101382,1,40,0.008322112,"High Temp High NTU",84,"night",2,NA,"",6
"40",40,52,1,-0.0338086423254366,1,41,0.005706081,"High Temp High NTU",84,"night",2,NA,"",6
"41",41,53,1,-0.0331153267935756,1,42,0.007096928,"High Temp High NTU",84,"night",2,NA,"",6
"42",42,54,1,-0.0348849286790082,1,43,0.004931005,"High Temp High NTU",84,"night",2,NA,"",6
"43",43,55,1,-0.0334585456434635,1,44,0.006756442,"High Temp High NTU",84,"night",2,NA,"",6
"44",44,56,1,-0.0345044955391492,1,45,0.005492654,"High Temp High NTU",84,"night",2,NA,"",6
"45",45,57,1,-0.0322238903416374,1,46,0.007876999,"High Temp High NTU",84,"night",2,NA,"",6
"46",46,58,1,-0.0343888699132297,1,47,0.005289865,"High Temp High NTU",84,"night",2,NA,"",6
"47",47,59,1,-0.0335734081434661,1,48,0.005319022,"High Temp High NTU",84,"night",2,NA,"",6
"48",48,60,1,-0.0158047550981168,1,49,0.020107844,"High Temp High NTU",84,"day",3,NA,"",6
"49",49,61,1,-0.0194745746971169,1,50,0.018934309,"High Temp High NTU",84,"day",3,NA,"",6
"50",50,62,1,-0.0196351938098786,1,51,0.018491855,"High Temp High NTU",84,"day",3,NA,"",6
"51",51,63,1,-0.017553083033355,1,52,0.019430259,"High Temp High NTU",84,"day",3,NA,"",6
"52",52,64,1,-0.0218102346079606,1,53,0.016783279,"High Temp High NTU",84,"day",3,NA,"",6
"53",53,65,1,-0.0198385461456483,1,54,0.018151024,"High Temp High NTU",84,"day",3,NA,"",6
"54",54,66,1,-0.0228728428009785,1,55,0.014702701,"High Temp High NTU",84,"day",3,NA,"",6
"55",55,67,1,-0.0167851736234557,1,56,0.020265285,"High Temp High NTU",84,"day",3,NA,"",6
"56",56,68,1,-0.00708451785991637,1,57,0.029047909,"High Temp High NTU",84,"day",3,NA,"",6
"57",57,69,1,-0.0129178207109866,1,58,0.024707591,"High Temp High NTU",84,"day",3,NA,"",6
"58",58,70,1,-0.016901767112994,1,59,0.021097051,"High Temp High NTU",84,"day",3,NA,"",6
"59",59,71,1,-0.0328431549038468,1,60,0.002853923,"High Temp High NTU",84,"day",3,NA,"",6
"60",60,72,1,-0.0396165829845944,1,61,-0.002410926,"High Temp High NTU",84,"night",3,NA,"",6
"61",61,73,1,-0.0399356492805551,1,62,0.000307884,"High Temp High NTU",84,"night",3,NA,"",6
"62",62,74,1,-0.0372531873314366,1,63,0.002042506,"High Temp High NTU",84,"night",3,NA,"",6
"63",63,75,1,-0.0368896691684857,1,64,0.001961334,"High Temp High NTU",84,"night",3,NA,"",6
"64",64,76,1,-0.033438627074965,1,65,0.004251464,"High Temp High NTU",84,"night",3,NA,"",6
"65",65,77,1,-0.0335892134831235,1,66,0.004250744,"High Temp High NTU",84,"night",3,NA,"",6
"66",66,78,1,-0.0347947789668858,1,67,0.003291294,"High Temp High NTU",84,"night",3,NA,"",6
"67",67,79,1,-0.0384063118420855,1,68,-0.004889538,"High Temp High NTU",84,"night",3,NA,"",6
"68",68,80,1,-0.053858073110046,1,69,-0.018050904,"High Temp High NTU",84,"night",3,NA,"",6
"69",69,81,1,-0.0535586572977342,1,70,-0.018099165,"High Temp High NTU",84,"night",3,NA,"",6
"70",70,82,1,-0.053338525542379,1,71,-0.017632581,"High Temp High NTU",84,"night",3,NA,"",6
"71",71,83,1,-0.0536778731293304,1,72,-0.017804259,"High Temp High NTU",84,"night",3,NA,"",6
"72",1,12,2,-0.006074185089268,2,1,0.010812718,"High Temp  ",84,"day",1,NA,NA,6
"73",2,13,2,-0.0130025040915662,2,2,0.004361815,"High Temp  ",84,"day",1,NA,NA,6
"74",3,14,2,-0.0117590275829299,2,3,0.006571491,"High Temp  ",84,"day",1,NA,NA,6
"75",4,15,2,-0.00849321189466961,2,4,0.008332433,"High Temp  ",84,"day",1,NA,NA,6
"76",5,16,2,-0.00762646375471955,2,5,0.00912073,"High Temp  ",84,"day",1,NA,NA,6
"77",6,18,2,-0.00686969682498865,2,7,0.008403865,"High Temp  ",84,"day",1,NA,NA,6
"78",7,19,2,-0.0076369971303484,2,8,0.008215838,"High Temp  ",84,"day",1,NA,NA,6
"79",8,20,2,-0.0124788527208444,2,9,0.004072294,"High Temp  ",84,"day",1,NA,NA,6
"80",9,21,2,-0.0192737912897942,2,10,-0.002881277,"High Temp  ",84,"day",1,NA,NA,6
"81",10,23,2,-0.0116650523505098,2,12,0.004701676,"High Temp  ",84,"day",1,NA,NA,6
"82",11,24,2,-0.0241872392803706,2,13,-0.003264749,"High Temp  ",84,"night",1,NA,NA,6
"83",12,25,2,-0.022300742906909,2,14,-0.001732048,"High Temp  ",84,"night",1,NA,NA,6
"84",13,26,2,-0.0207550594641173,2,15,-7.93e-05,"High Temp  ",84,"night",1,NA,NA,6
"85",14,27,2,-0.0205248741394839,2,16,0.000385182,"High Temp  ",84,"night",1,NA,NA,6
"86",15,28,2,-0.0429136993393723,2,17,-0.021534575,"High Temp  ",84,"night",1,NA,NA,6
"87",16,29,2,-0.0390174947030685,2,18,-0.016663098,"High Temp  ",84,"night",1,NA,NA,6
"88",17,30,2,-0.039993524842553,2,19,-0.017430616,"High Temp  ",84,"night",1,NA,NA,6
"89",18,31,2,-0.0412682297195775,2,20,-0.0189117,"High Temp  ",84,"night",1,NA,NA,6
"90",19,32,2,-0.0415656708617708,2,21,-0.019649539,"High Temp  ",84,"night",1,NA,NA,6
"91",20,33,2,-0.0410032593769286,2,22,-0.0190388,"High Temp  ",84,"night",1,NA,NA,6
"92",21,34,2,-0.0409749733694274,2,23,-0.019031282,"High Temp  ",84,"night",1,NA,NA,6
"93",22,35,2,-0.0400820001836054,2,24,-0.01593305,"High Temp  ",84,"night",1,NA,NA,6
"94",23,36,2,-0.018559124591939,2,25,-0.0003022,"High Temp  ",84,"day",2,NA,NA,6
"95",24,38,2,-0.016589452145014,2,27,-0.000172292,"High Temp  ",84,"day",2,NA,NA,6
"96",25,39,2,-0.021012776789005,2,28,-0.003973001,"High Temp  ",84,"day",2,NA,NA,6
"97",26,40,2,-0.0159688152216121,2,29,0.001176554,"High Temp  ",84,"day",2,NA,NA,6
"98",27,41,2,-0.0165956637371929,2,30,0.000619616,"High Temp  ",84,"day",2,NA,NA,6
"99",28,42,2,-0.0162105748747603,2,31,0.001042498,"High Temp  ",84,"day",2,NA,NA,6
"100",29,43,2,-0.0188604052205625,2,32,-0.00159086,"High Temp  ",84,"day",2,NA,NA,6
"101",30,44,2,-0.0167669908811399,2,33,0.000411043,"High Temp  ",84,"day",2,NA,NA,6
"102",31,45,2,-0.0166626862966569,2,34,-0.00018343,"High Temp  ",84,"day",2,NA,NA,6
"103",32,46,2,-0.00387644614843573,2,35,0.010711773,"High Temp  ",84,"day",2,NA,NA,6
"104",33,47,2,-0.0159306230718641,2,36,0.000276752,"High Temp  ",84,"day",2,NA,NA,6
"105",34,48,2,-0.0422211584354345,2,37,-0.021405662,"High Temp  ",84,"night",2,NA,NA,6
"106",35,49,2,-0.0397798697901035,2,38,-0.020123119,"High Temp  ",84,"night",2,NA,NA,6
"107",36,50,2,-0.0444830740778808,2,39,-0.024499079,"High Temp  ",84,"night",2,NA,NA,6
"108",37,51,2,-0.0458162582320874,2,40,-0.026125329,"High Temp  ",84,"night",2,NA,NA,6
"109",38,52,2,-0.0473842405670287,2,41,-0.027807058,"High Temp  ",84,"night",2,NA,NA,6
"110",39,53,2,-0.0516741238724015,2,42,-0.032150347,"High Temp  ",84,"night",2,NA,NA,6
"111",40,54,2,-0.0513886193450876,2,43,-0.031682982,"High Temp  ",84,"night",2,NA,NA,6
"112",41,55,2,-0.0543531500595418,2,44,-0.034885776,"High Temp  ",84,"night",2,NA,NA,6
"113",42,56,2,-0.0580188622632025,2,45,-0.039262649,"High Temp  ",84,"night",2,NA,NA,6
"114",43,57,2,-0.0598871175081614,2,46,-0.04143529,"High Temp  ",84,"night",2,NA,NA,6
"115",44,58,2,-0.0629394856945891,2,47,-0.044404077,"High Temp  ",84,"night",2,NA,NA,6
"116",45,59,2,-0.0657048539384164,2,48,-0.048616473,"High Temp  ",84,"night",2,NA,NA,6
"117",46,60,2,-0.0175746466732738,2,49,-0.002114825,"High Temp  ",84,"day",3,NA,NA,6
"118",47,61,2,-0.0213537919797152,2,50,-0.00432242,"High Temp  ",84,"day",3,NA,NA,6
"119",48,62,2,-0.0188018189137304,2,51,-0.001806794,"High Temp  ",84,"day",3,NA,NA,6
"120",49,63,2,-0.0162547910829961,2,52,-3.31e-05,"High Temp  ",84,"day",3,NA,NA,6
"121",50,64,2,-0.0164301398474034,2,53,0.000130789,"High Temp  ",84,"day",3,NA,NA,6
"122",51,65,2,-0.0151272401571574,2,54,0.001116029,"High Temp  ",84,"day",3,NA,NA,6
"123",52,66,2,-0.0162796304885131,2,55,-0.000340969,"High Temp  ",84,"day",3,NA,NA,6
"124",53,67,2,-0.0157285503656075,2,56,0.000759441,"High Temp  ",84,"day",3,NA,NA,6
"125",54,68,2,-0.0161676823289483,2,57,0.000437683,"High Temp  ",84,"day",3,NA,NA,6
"126",55,69,2,-0.0219720548883975,2,58,-0.006120295,"High Temp  ",84,"day",3,NA,NA,6
"127",56,70,2,-0.0225145136975532,2,59,-0.006154384,"High Temp  ",84,"day",3,NA,NA,6
"128",57,71,2,-0.00530672215774576,2,60,0.012388018,"High Temp  ",84,"day",3,NA,NA,6
"129",58,72,2,-0.0443100126972642,2,61,-0.024884764,"High Temp  ",84,"night",3,NA,NA,6
"130",59,73,2,-0.0405643706892365,2,62,-0.020686367,"High Temp  ",84,"night",3,NA,NA,6
"131",60,74,2,-0.0339608680574002,2,63,-0.015100138,"High Temp  ",84,"night",3,NA,NA,6
"132",61,75,2,-0.0338047755759993,2,64,-0.015382421,"High Temp  ",84,"night",3,NA,NA,6
