"","Cycle","Chamber","MO2 no Background Correction","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","X.2","Trial"
"1",13,8,0.00355409878584363,8,1,0.022071225,"Control",101,"day",1,NA,NA,"",7
"2",14,8,0.0166078452858148,8,2,0.035636882,"Control",101,"day",1,NA,NA,"",7
"3",15,8,0.00288202271192416,8,3,0.021372794,"Control",101,"day",1,NA,NA,"",7
"4",16,8,0.00202336266980701,8,4,0.020480461,"Control",101,"day",1,NA,NA,"",7
"5",17,8,0.00173416792594708,8,5,0.020179925,"Control",101,"day",1,NA,NA,"",7
"6",18,8,0.0150236131120128,8,6,0.033990523,"Control",101,"day",1,NA,NA,"",7
"7",19,8,0.010763487541949,8,7,0.029563334,"Control",101,"day",1,NA,NA,"",7
"8",20,8,0.0059486403356354,8,8,0.02455967,"Control",101,"day",1,NA,NA,"",7
"9",21,8,0.00305970543213623,8,9,0.021557444,"Control",101,"day",1,NA,NA,"",7
"10",22,8,0.000286475653857139,8,10,0.018675461,"Control",101,"day",1,NA,NA,"",7
"11",23,8,0.0045367230150318,8,11,0.023092384,"Control",101,"day",1,NA,NA,"",7
"12",24,8,0.00312652860347537,8,12,0.021626888,"Control",101,"day",1,NA,NA,"",7
"13",25,8,-0.0196240582591147,8,13,-0.002015876,"Control",101,"night",1,NA,NA,"",7
"14",26,8,-0.0191332259124661,8,14,-0.001505795,"Control",101,"night",1,NA,NA,"",7
"15",27,8,-0.0162306127025849,8,15,0.001510646,"Control",101,"night",1,NA,NA,"",7
"16",28,8,-0.0167218204969569,8,16,0.001000175,"Control",101,"night",1,NA,NA,"",7
"17",29,8,-0.019285180623744,8,17,-0.001663709,"Control",101,"night",1,NA,NA,"",7
"18",30,8,-0.0186181518929291,8,18,-0.000970522,"Control",101,"night",1,NA,NA,"",7
"19",31,8,-0.0193665402176542,8,19,-0.001748259,"Control",101,"night",1,NA,NA,"",7
"20",32,8,-0.0183989263013247,8,20,-0.0007427,"Control",101,"night",1,NA,NA,"",7
"21",33,8,-0.0179972944320291,8,21,-0.000325317,"Control",101,"night",1,NA,NA,"",7
"22",34,8,-0.0201642723247613,8,22,-0.002577275,"Control",101,"night",1,NA,NA,"",7
"23",35,8,-0.0182518303664972,8,23,-0.000589835,"Control",101,"night",1,NA,NA,"",7
"24",36,8,-0.0205513195900129,8,24,-0.0029795,"Control",101,"night",1,NA,NA,"",7
"25",37,8,0.00141168208293632,8,25,0.019844793,"Control",101,"day",2,NA,NA,"",7
"26",38,8,-0.00251354510289511,8,26,0.015765636,"Control",101,"day",2,NA,NA,"",7
