,Hour,Chamber,MO2 no Background Correction,NA,Cycle,MO2,Treatment,Genotype,Time.of.Day,Day.of.Exp,X,X.1,X.2,X.3,X.4,Trial
1,1,4,-0.015856121,4,11,-0.010682509,High Temp,60,day,1,NA,NA,NA,NA,,8
2,10,4,-0.006667725,4,20,0.004093937,High Temp,60,day,1,NA,NA,NA,NA,,8
3,11,4,-0.004202005,4,21,0.012262504,High Temp,60,day,1,NA,NA,NA,NA,,8
4,12,4,-0.006822275,4,22,0.014585617,High Temp,60,day,1,NA,NA,NA,NA,,8
5,13,4,-0.013135568,4,23,0.012828398,High Temp,60,night,1,NA,NA,NA,NA,,8
6,14,4,-0.018859625,4,24,0.005658282,High Temp,60,night,1,NA,NA,NA,NA,,8
7,15,4,-0.016443288,4,25,0.002374931,High Temp,60,night,1,NA,NA,NA,NA,,8
8,16,4,-0.02402741,4,26,0.004349309,High Temp,60,night,1,NA,NA,NA,NA,,8
9,17,4,-0.018936569,4,27,-0.006880464,High Temp,60,night,1,NA,NA,NA,NA,,8
10,18,4,-0.020724371,4,28,-0.000713464,High Temp,60,night,1,NA,NA,NA,NA,,8
11,19,4,-0.021835107,4,29,-0.002535205,High Temp,60,night,1,NA,NA,NA,NA,,8
12,2,4,-0.005993521,4,12,0.002105898,High Temp,60,day,1,NA,NA,NA,NA,,8
13,20,4,-0.021664797,4,30,-0.003788764,High Temp,60,night,1,NA,NA,NA,NA,,8
14,21,4,-0.021420342,4,31,-0.00388831,High Temp,60,night,1,NA,NA,NA,NA,,8
15,22,4,-0.022334475,4,32,-0.003507514,High Temp,60,night,1,NA,NA,NA,NA,,8
16,23,4,-0.021418191,4,33,-0.004287834,High Temp,60,night,1,NA,NA,NA,NA,,8
17,24,4,-0.020187302,4,34,-0.003463544,High Temp,60,night,1,NA,NA,NA,NA,,8
18,25,4,-0.009575029,4,35,-0.002338314,High Temp,60,day,2,NA,NA,NA,NA,,8
19,26,4,-0.01052909,4,36,0.008915493,High Temp,60,day,2,NA,NA,NA,NA,,8
20,27,4,-0.012601573,4,37,0.008536113,High Temp,60,day,2,NA,NA,NA,NA,,8
21,28,4,-0.003040352,4,38,0.007139808,High Temp,60,day,2,NA,NA,NA,NA,,8
22,29,4,-0.004014375,4,39,0.016595302,High Temp,60,day,2,NA,NA,NA,NA,,8
23,3,4,-0.003837574,4,13,0.013504577,High Temp,60,day,1,NA,NA,NA,NA,,8
24,30,4,-0.002483125,4,40,0.015538491,High Temp,60,day,2,NA,NA,NA,NA,,8
25,31,4,-0.017460055,4,41,0.015554604,High Temp,60,day,2,NA,NA,NA,NA,,8
26,32,4,-0.025338797,4,42,0.004296779,High Temp,60,day,2,NA,NA,NA,NA,,8
27,33,4,-0.009288934,4,43,-0.007316108,High Temp,60,day,2,NA,NA,NA,NA,,8
28,34,4,-0.028911198,4,44,0.006813168,High Temp,60,day,2,NA,NA,NA,NA,,8
29,35,4,-0.026659839,4,45,-0.009189506,High Temp,60,day,2,NA,NA,NA,NA,,8
30,36,4,-0.025725686,4,46,-0.008008283,High Temp,60,day,2,NA,NA,NA,NA,,8
31,37,4,-0.011418538,4,47,-0.006660021,High Temp,60,night,2,NA,NA,NA,NA,,8
32,38,4,-0.0089453,4,48,0.006360613,High Temp,60,night,2,NA,NA,NA,NA,,8
33,39,4,-0.008869963,4,49,0.009371252,High Temp,60,night,2,NA,NA,NA,NA,,8
34,4,4,-0.006304343,4,14,0.015392154,High Temp,60,day,1,NA,NA,NA,NA,,8
35,40,4,-0.009581604,4,50,0.009500153,High Temp,60,night,2,NA,NA,NA,NA,,8
36,41,4,-0.010746094,4,51,0.008988392,High Temp,60,night,2,NA,NA,NA,NA,,8
37,42,4,-0.009149126,4,52,0.008032183,High Temp,60,night,2,NA,NA,NA,NA,,8
38,43,4,-0.008109191,4,53,0.00978338,High Temp,60,night,2,NA,NA,NA,NA,,8
39,44,4,-0.007166162,4,54,0.01081117,High Temp,60,night,2,NA,NA,NA,NA,,8
40,45,4,-0.006833385,4,55,0.011688037,High Temp,60,night,2,NA,NA,NA,NA,,8
41,46,4,-0.006912523,4,56,0.012044792,High Temp,60,night,2,NA,NA,NA,NA,,8
42,47,4,-0.00700317,4,57,0.011719191,High Temp,60,night,2,NA,NA,NA,NA,,8
43,48,4,-0.008347429,4,58,0.011465318,High Temp,60,night,2,NA,NA,NA,NA,,8
44,49,4,-0.007656163,4,59,0.010206649,High Temp,60,day,3,NA,NA,NA,NA,,8
45,5,4,-0.004945279,4,15,0.013155702,High Temp,60,day,1,NA,NA,NA,NA,,8
46,50,4,-0.025846967,4,60,0.011467848,High Temp,60,day,3,NA,NA,NA,NA,,8
47,51,4,-0.026726372,4,61,-0.007448295,High Temp,60,day,3,NA,NA,NA,NA,,8
48,52,4,-0.024463402,4,62,-0.008368636,High Temp,60,day,3,NA,NA,NA,NA,,8
49,53,4,-0.011475303,4,63,-0.006187774,High Temp,60,day,3,NA,NA,NA,NA,,8
50,54,4,-0.019048283,4,64,0.006604981,High Temp,60,day,3,NA,NA,NA,NA,,8
51,55,4,-0.032754641,4,65,0.000620128,High Temp,60,day,3,NA,NA,NA,NA,,8
52,56,4,-0.026618838,4,66,-0.014367249,High Temp,60,day,3,NA,NA,NA,NA,,8
53,57,4,-0.026356931,4,67,-0.009478061,High Temp,60,day,3,NA,NA,NA,NA,,8
54,58,4,-0.016513503,4,68,-0.011111049,High Temp,60,day,3,NA,NA,NA,NA,,8
55,59,4,-0.001482462,4,69,0.001946995,High Temp,60,day,3,NA,NA,NA,NA,,8
56,6,4,-0.013922766,4,16,0.014295861,High Temp,60,day,1,NA,NA,NA,NA,,8
57,60,4,-0.01496775,4,70,0.017738653,High Temp,60,day,3,NA,NA,NA,NA,,8
