"","Hour","Chamber","MO2 no Background Correction","NA","Cycle","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","X.2","X.3","X.4","Trial"
"1",10,7,-0.00137161373459164,7,20,0.020469022,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"2",11,7,-0.00171343041219898,7,21,0.029318226,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"3",12,7,-0.00157129296232435,7,22,0.029416692,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"4",13,7,-0.00656577823003658,7,23,0.029115584,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"5",14,7,-0.0172728916230035,7,24,0.02276836,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"6",15,7,-0.0174828221113201,7,25,0.011440219,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"7",16,7,-0.0181165034739273,7,26,0.011255813,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"8",17,7,-0.0192021689631316,7,27,0.012124436,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"9",18,7,-0.0114247474876814,7,28,0.009721965,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"10",19,7,-0.027278605574618,7,29,0.01749957,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"11",2,7,-0.00266703122835796,7,12,0.036760422,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"12",20,7,-0.0208749619565391,7,30,0.001723807,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"13",21,7,-0.0133356438826381,7,31,0.00820086,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"14",22,7,-0.0243205590497652,7,32,0.016516898,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"15",23,7,-0.0203467529473956,7,33,0.003970836,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"16",24,7,-0.019895280910011,7,34,0.008543409,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"17",25,7,0.00114452132445602,7,35,0.010083805,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"18",26,7,-0.00594705652907941,7,36,0.031654097,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"19",28,7,-0.00304949756662651,7,38,0.020907481,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"20",31,7,-0.00109480264293517,7,41,0.025534833,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"21",34,7,0.00238878752849784,7,44,0.02684619,"High NTU",60,"day",2,NA,NA,NA,NA,"",8
"22",37,7,-0.00728642125258661,7,47,0.029963503,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"23",38,7,-0.0188006882934685,7,48,0.022738068,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"24",39,7,-0.0144583423625512,7,49,0.009145794,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"25",40,7,-0.00576782942391662,7,50,0.014312917,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"26",41,7,-0.0216567477619478,7,51,0.02382673,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"27",42,7,-0.0149153268578436,7,52,0.006502369,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"28",43,7,-0.0063758192596964,7,53,0.013861482,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"29",44,7,-0.0242905316576363,7,54,0.022736751,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"30",45,7,-0.0157679472938552,7,55,0.004178486,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"31",46,7,-0.00925818089803724,7,56,0.013158571,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"32",47,7,-0.0253218877641272,7,57,0.019599588,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"33",48,7,-0.0169068126104797,7,58,0.003225316,"High NTU",60,"night",2,NA,NA,NA,NA,"",8
"34",49,7,-0.00596106967952254,7,59,0.011819649,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"35",5,7,-0.000840173954817287,7,15,0.015973149,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"36",50,7,-0.0161443266379299,7,60,0.023375321,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"37",51,7,-0.00927796931013081,7,61,0.01450044,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"38",52,7,-0.00718426984959437,7,62,0.021358868,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"39",54,7,-0.0152650847377892,7,64,0.027252657,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"40",55,7,-0.0111796569373852,7,65,0.015891258,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"41",58,7,-0.00679279324370583,7,68,0.019007489,"High NTU",60,"day",3,NA,NA,NA,NA,"",8
"42",6,7,-0.00869232647592199,7,16,0.028295278,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"43",61,7,-0.0219009182187215,7,71,0.017738887,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"44",63,7,-0.0177569491585079,7,73,0.018630145,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"45",64,7,-0.0175110730205418,7,74,0.010900973,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
"46",66,7,-0.0180552592750097,7,76,0.020091842,"High NTU",60,"night",3,NA,NA,NA,NA,"",8
