"","Cycle","Chamber","MO2 no Background Correction","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","X.2","X.3","X.4","Trial"
"1",11,4,0.017655916728349,1,-0.010682509,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"2",12,4,0.0179178006668394,2,0.002105898,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"3",13,4,0.00350911923829245,3,0.013504577,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"4",14,4,0.00759441610801378,4,0.015392154,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"5",15,4,0.00564110526685096,5,0.013155702,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"6",16,4,0.00524509161097003,6,0.014295861,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"7",17,4,0.0111159135351235,7,0.004157573,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"8",18,4,0.00986202038768206,8,0.007922648,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"9",19,4,0.012274691540613,9,0.001873029,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"10",20,4,0.0111090163523391,10,0.004093937,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"11",21,4,0.00732595287201505,11,0.012262504,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"12",22,4,0.0102550190851086,12,0.014585617,"High Temp",60,"day",1,NA,NA,NA,NA,"",8
"13",23,4,0.00400630932663991,13,0.012828398,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"14",24,4,0.00634784115247937,14,0.005658282,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"15",25,4,0.0025485167305692,15,0.002374931,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"16",26,4,0.00244960438421313,16,0.004349309,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"17",27,4,0.0162599802189784,17,-0.006880464,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"18",28,4,0.0137691456330087,18,-0.000713464,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"19",29,4,0.0128553422104852,19,-0.002535205,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"20",30,4,0.0135493573811161,20,-0.003788764,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"21",31,4,0.0143092556745713,21,-0.00388831,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"22",32,4,0.0133697925964141,22,-0.003507514,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"23",33,4,0.0119630129149846,23,-0.004287834,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"24",34,4,0.0135089818605635,24,-0.003463544,"High Temp",60,"night",1,NA,NA,NA,NA,"",8
"25",35,4,0.0156246410492645,25,-0.002338314,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"26",36,4,0.0128011283269432,26,0.008915493,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"27",37,4,0.00632832921645628,27,0.008536113,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"28",38,4,0.000656397376284137,28,0.007139808,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"29",39,4,0.0080334952334888,29,0.016595302,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"30",40,4,0.0060615019877358,30,0.015538491,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"31",41,4,0.0124738329853011,31,0.015554604,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"32",42,4,-0.0036599107082878,32,0.004296779,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"33",43,4,0.0145649085958443,33,-0.007316108,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"34",44,4,0.0191011744045784,34,0.006813168,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"35",45,4,0.00498611801963018,35,-0.009189506,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"36",46,4,0.011997298785476,36,-0.008008283,"High Temp",60,"day",2,NA,NA,NA,NA,"",8
"37",47,4,0.00725815756415544,37,-0.006660021,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"38",48,4,0.0131216992461339,38,0.006360613,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"39",49,4,0.0104863622182198,39,0.009371252,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"40",50,4,0.010171739033924,40,0.009500153,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"41",51,4,0.00883714974429327,41,0.008988392,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"42",52,4,0.00681334753982619,42,0.008032183,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"43",53,4,0.00669359401865855,43,0.00978338,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"44",54,4,0.00647298324203939,44,0.01081117,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"45",55,4,0.00780633418434984,45,0.011688037,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"46",56,4,0.00780320713816129,46,0.012044792,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"47",57,4,0.00903633737844416,47,0.011719191,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"48",58,4,0.00950035374461461,48,0.011465318,"High Temp",60,"night",2,NA,NA,NA,NA,"",8
"49",59,4,0.00890818635854577,49,0.010206649,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"50",60,4,0.00457178632747468,50,0.011467848,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"51",61,4,0.0113824619047495,51,-0.007448295,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"52",62,4,0.0103765327575211,52,-0.008368636,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"53",63,4,0.0109711160677728,53,-0.006187774,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"54",64,4,0.0151465379343126,54,0.006604981,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"55",65,4,0.00194909879275523,55,0.000620128,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"56",66,4,0.00864788027949764,56,-0.014367249,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"57",67,4,0.0108150365697534,57,-0.009478061,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"58",68,4,0.0226631829457143,58,-0.011111049,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"59",69,4,0.011295707486104,59,0.001946995,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"60",70,4,0.00826444307483074,60,0.017738653,"High Temp",60,"day",3,NA,NA,NA,NA,"",8
"61",71,4,0.000277168109945569,61,0.004838496,"High Temp",60,"night",3,NA,NA,NA,NA,"",8
"62",72,4,0.0163827966103824,62,-0.00979434,"High Temp",60,"night",3,NA,NA,NA,NA,"",8
"63",73,4,0.00990679891875514,63,0.013517507,"High Temp",60,"night",3,NA,NA,NA,NA,"",8
"64",74,4,0.00561409032235496,64,0.010431403,"High Temp",60,"night",3,NA,NA,NA,NA,"",8
"65",75,4,0.0154840193833365,65,-0.002092522,"High Temp",60,"night",3,NA,NA,NA,NA,"",8
