"","Cycle","Chamber","MO2 no Background Correction","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","X.2","X.3","X.4","Trial"
"1",11,7,0.0103845119642677,7,1,0.005213139,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"2",12,7,0.00453700485098489,7,2,0.036760422,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"3",13,7,0.00333209900470189,7,3,0.026932139,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"4",15,7,0.0032012113303908,7,5,0.015973149,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"5",16,7,0.00876975512299719,7,6,0.028295278,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"6",17,7,-0.00372401997306066,7,7,0.021683976,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"7",18,7,0.000447450031965643,7,8,0.022862851,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"8",20,7,-0.001789850178351,7,10,0.020469022,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"9",21,7,0.00289281774234582,7,11,0.029318226,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"10",22,7,-0.00272997459107416,7,12,0.029416692,"High NTU",60,"day",1,NA,NA,NA,NA,"",8
"11",23,7,-0.00020267918206517,7,13,0.029115584,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"12",24,7,0.010393320250705,7,14,0.02276836,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"13",25,7,0.00164019279730819,7,15,0.011440219,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"14",26,7,0.00809413632464289,7,16,0.011255813,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"15",27,7,0.000679464698770261,7,17,0.012124436,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"16",28,7,0.00488012467853844,7,18,0.009721965,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"17",29,7,0.0116341341120742,7,19,0.01749957,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"18",30,7,-0.00208715414079163,7,20,0.001723807,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"19",31,7,0.00468751144647789,7,21,0.00820086,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"20",32,7,0.00771430688127134,7,22,0.016516898,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
"21",33,7,0.00419951537460703,7,23,0.003970836,"High NTU",60,"night",1,NA,NA,NA,NA,"",8
