"","X.3","Cycle","Chamber","MO2.no.Background.Correction","NA.","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","X","X.1","X.2","Trial"
"1",1,13,1,-0.000227718859261852,1,1,0.009996927,"High Temp High NTU",97,"day",1,NA,NA,"Trial starts at cycle 13 (8:00 am to 9:00)",7
"2",2,14,1,-0.00724546455186223,1,2,0.003037956,"High Temp High NTU",97,"day",1,NA,NA,"",7
"3",3,15,1,0.00543684366354057,1,3,0.015614048,"High Temp High NTU",97,"day",1,NA,NA,"",7
"4",4,16,1,-0.0132959085607803,1,4,-0.002961814,"High Temp High NTU",97,"day",1,NA,NA,"",7
"5",5,17,1,-0.011794932608002,1,5,-0.001473409,"High Temp High NTU",97,"day",1,NA,NA,"",7
"6",6,18,1,-0.00116484423929965,1,6,0.00906765,"High Temp High NTU",97,"day",1,NA,NA,"",7
"7",7,19,1,-0.0039347508818975,1,7,0.006320942,"High Temp High NTU",97,"day",1,NA,NA,"",7
"8",8,20,1,-0.00531887291715598,1,8,0.004948412,"High Temp High NTU",97,"day",1,NA,NA,"",7
"9",9,21,1,-0.00829237660804117,1,9,0.001999812,"High Temp High NTU",97,"day",1,NA,NA,"",7
"10",10,22,1,-0.00413710544320293,1,10,0.006120282,"High Temp High NTU",97,"day",1,NA,NA,"",7
"11",11,23,1,-0.00198036626167502,1,11,0.008258958,"High Temp High NTU",97,"day",1,NA,NA,"",7
"12",12,24,1,-0.00654081766542239,1,12,0.003736702,"High Temp High NTU",97,"day",1,NA,NA,"",7
"13",13,25,1,-0.0207309548162226,1,13,-0.01033459,"High Temp High NTU",97,"night",1,NA,NA,"",7
"14",14,26,1,-0.00711247793907075,1,14,0.003169829,"High Temp High NTU",97,"night",1,NA,NA,"",7
"15",15,27,1,-0.0175968743267326,1,15,-0.007226758,"High Temp High NTU",97,"night",1,NA,NA,"",7
"16",16,28,1,-0.0180093923220673,1,16,-0.007635821,"High Temp High NTU",97,"night",1,NA,NA,"",7
"17",17,29,1,-0.0183959065709621,1,17,-0.008019098,"High Temp High NTU",97,"night",1,NA,NA,"",7
"18",18,30,1,-0.0191803332613107,1,18,-0.008796955,"High Temp High NTU",97,"night",1,NA,NA,"",7
