"","AutoResp.Cycle.Loop","Chamber","MO2 no Background Correction","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp"
"1",11,2,0.00927253662769755,1,0.025978943,29,84,"day",1
"2",12,2,-0.00254593556979803,2,0.013572321,29,84,"day",1
"3",13,2,-0.00747559724030551,3,0.008398455,29,84,"day",1
"4",15,2,-0.00549884328455807,5,0.010477914,29,84,"day",1
"5",16,2,-0.0011642777768947,6,0.015032777,29,84,"day",1
"6",17,2,-8.30288516592047e-06,7,0.016240725,29,84,"day",1
"7",18,2,0.00134456728486436,8,0.017658412,29,84,"day",1
"8",19,2,-0.0132642880418766,9,0.002339832,29,84,"day",1
"9",20,2,0.000881365588043658,10,0.017179709,29,84,"day",1
"10",21,2,0.00610169192993476,11,0.022652551,29,84,"day",1
"11",22,2,-0.00602194791677977,12,0.009937386,29,84,"day",1
"12",23,2,-0.00682500190563815,13,0.009097611,29,84,"night",1
"13",24,2,-0.010837044436017,14,0.004884101,29,84,"night",1
"14",25,2,-0.0029328975911618,15,0.013188284,29,84,"night",1
"15",26,2,-0.00602122884805871,16,0.009936261,29,84,"night",1
"16",27,2,-0.00534038881950885,17,0.010655333,29,84,"night",1
"17",28,2,-0.00500325181277114,18,0.011005887,29,84,"night",1
"18",29,2,-0.00521006451052312,19,0.010791437,29,84,"night",1
"19",30,2,-0.00373097126486938,20,0.012344252,29,84,"night",1
"20",31,2,-0.0053874452201881,21,0.010603308,29,84,"night",1
"21",32,2,-0.00385464359821002,22,0.01221209,29,84,"night",1
"22",33,2,-0.00196805069884664,23,0.014194056,29,84,"night",1
"23",34,2,-0.00744497148801264,24,0.008439783,29,84,"night",2
"24",36,2,-0.000648853636244496,26,0.015566429,29,84,"day ",2
"25",37,2,0.00163626294059083,27,0.017967146,29,84,"day",2
"26",38,2,-0.0082816637552144,28,0.007558681,29,84,"day ",2
"27",39,2,-0.00445197587516887,29,0.011583457,29,84,"day",2
"28",40,2,-6.67647535759538e-05,30,0.016185297,29,84,"day ",2
"29",41,2,0.00107672947158528,31,0.01737698,29,84,"day",2
"30",42,2,-0.00586719434048439,32,0.010096199,29,84,"day ",2
"31",44,2,-0.00695624169877408,34,0.008950775,29,84,"day ",2
"32",45,2,-0.00540071919784957,35,0.010582665,29,84,"day",2
"33",46,2,-0.00491988980625639,36,0.011095418,29,84,"day",2
"34",47,2,-0.0166077152002163,37,-0.001169939,29,84,"night ",2
"35",48,2,-0.00575846967970953,38,0.01021914,29,84,"night ",2
"36",49,2,-0.0172843890028099,39,-0.001874413,29,84,"night ",2
"37",50,2,-0.0056621514973788,40,0.010321442,29,84,"night ",2
"38",51,2,-0.0162514371423743,41,-0.00079042,29,84,"night ",2
"39",52,2,-0.0070230180620455,42,0.008893329,29,84,"night ",2
"40",53,2,-0.0158010631552081,43,-0.000321482,29,84,"night ",2
"41",54,2,-0.00676536558634768,44,0.009167894,29,84,"night ",2
"42",55,2,-0.0149945795864091,45,0.000526314,29,84,"night ",2
"43",56,2,-0.0100080825983524,46,0.005764689,29,84,"night ",2
"44",57,2,-0.0121566012635464,47,0.003502008,29,84,"night ",2
"45",58,2,-0.011695295717496,48,0.00398953,29,84,"night",2
"46",59,2,0.000685375323464936,49,0.01696907,29,84,"day",3
"47",60,2,3.44273036147322e-05,50,0.016291866,29,84,"day ",3
"48",61,2,-0.00596134023489935,51,0.010001212,29,84,"day",3
"49",62,2,-0.00797523677956199,52,0.007887495,29,84,"day ",3
"50",63,2,0.00158652036022652,53,0.017923741,29,84,"day",3
"51",64,2,-0.00525165762730216,54,0.010741,29,84,"day",3
"52",65,2,-0.00275752736606599,55,0.013366563,29,84,"day ",3
"53",66,2,-0.00653132356893569,56,0.009400172,29,84,"day",3
"54",67,2,-0.0123636519329258,57,0.003293332,29,84,"day ",3
"55",68,2,0.00294656225677024,58,0.019340346,29,84,"day",3
"56",69,2,-0.00466995951395669,59,0.011359126,29,84,"day",3
"57",70,2,-0.00294769083850486,60,0.013163149,29,84,"day",3
"58",71,2,-0.013884533788522,61,0.00169827,29,84,"night",3
"59",72,2,-0.00565589902545372,62,0.010326396,29,84,"night",3
"60",73,2,-0.0069181384889499,63,0.009000276,29,84,"night",3
"61",74,2,-0.00058112036825186,64,0.015643397,29,84,"night",3
"62",75,2,-0.00850065155126823,65,0.007339816,29,84,"night",3
"63",76,2,-0.00669425148285989,66,0.009234084,29,84,"night",3
"64",77,2,-0.00787712148150107,67,0.007994159,29,84,"night",3
"65",78,2,-0.00530989400179349,68,0.010688885,29,84,"night",3
"66",79,2,-0.00583148619994898,69,0.01014345,29,84,"night",3
"67",80,2,-0.00301217803026892,70,0.01310436,29,84,"night",3
"68",81,2,-0.00549316047434003,71,0.010498811,29,84,"night",3
"69",82,2,-0.00622159463861457,72,0.009733021,29,84,"night ",3
