"","AutoResp.Cycle.Loop","Chamber","MO2 no Background Correction","NA","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp"
"1",11,6,0.00076679104290645,6,1,0.011835975,50,90,"day",1
"2",12,6,-0.00681990495988315,6,2,0.003875699,50,90,"day",1
"3",13,6,-0.0032487681757009,6,3,0.007622807,50,90,"day",1
"4",15,6,-0.000219889329631849,6,5,0.010805041,50,90,"day",1
"5",16,6,-0.00216141159401895,6,6,0.008766469,50,90,"day",1
"6",17,6,-0.000678852715580061,6,7,0.010320095,50,90,"day",1
"7",18,6,0.000670159582370954,6,8,0.011741689,50,90,"day",1
"8",19,6,-0.00224887198718182,6,9,0.008676144,50,90,"day",1
"9",21,6,0.00135790506214269,6,11,0.012462024,50,90,"day",1
"10",22,6,-0.00248250499140459,6,12,0.008431476,50,90,"day",1
"11",23,6,-0.0118439498435299,6,13,-0.001387096,50,90,"night",1
"12",24,6,-0.00584657505681751,6,14,0.004913696,50,90,"night",1
"13",25,6,-0.00390637006743231,6,15,0.00694711,50,90,"night",1
"14",26,6,-0.00541829930622242,6,16,0.005351062,50,90,"night",1
"15",27,6,-0.00258488555701956,6,17,0.008327219,50,90,"night",1
"16",28,6,-0.00698200801199928,6,18,0.003711385,50,90,"night",1
"17",29,6,-0.00206474880266425,6,19,0.008877469,50,90,"night",1
"18",30,6,-0.00515845131363315,6,20,0.00562467,50,90,"night",1
"19",31,6,-0.00244629230974991,6,21,0.00847161,50,90,"night",1
"20",32,6,-0.00367768842373326,6,22,0.007178572,50,90,"night",1
"21",33,6,-0.00428885695059929,6,23,0.006538184,50,90,"night",1
"22",34,6,-0.00346093184198353,6,24,0.007403146,50,90,"night",2
"23",35,6,0.000547519556134666,6,25,0.011612661,50,90,"day",2
"24",36,6,-0.0144963783444978,6,26,-0.004197728,50,90,"day ",2
"25",37,6,-0.0169318147147444,6,27,-0.006737646,50,90,"day",2
"26",38,6,-0.0162729303080737,6,28,-0.006049777,50,90,"day ",2
"27",39,6,-0.00222876229990047,6,29,0.008698912,50,90,"day",2
"28",40,6,-0.00032128294104701,6,30,0.010682651,50,90,"day ",2
"29",41,6,-0.00162105733161043,6,31,0.009335104,50,90,"day",2
"30",42,6,0.000165755686728837,6,32,0.011203909,50,90,"day ",2
"31",43,6,-0.000424123270286319,6,33,0.010592081,50,90,"day",2
"32",44,6,-0.000545414468023248,6,34,0.010466201,50,90,"day ",2
"33",45,6,-0.00137040997805464,6,35,0.009598007,50,90,"day",2
"34",46,6,-0.0033501814050639,6,36,0.007517578,50,90,"day",2
"35",47,6,-0.0027482492125425,6,37,0.008151859,50,90,"night ",2
"36",48,6,-0.00296271692988454,6,38,0.00792932,50,90,"night ",2
"37",49,6,-0.0045023879499368,6,39,0.006316012,50,90,"night ",2
"38",50,6,-0.00265625970120854,6,40,0.008254619,50,90,"night ",2
"39",51,6,-0.00606524442180877,6,41,0.004675568,50,90,"night ",2
"40",52,6,0.00319633721918316,6,42,0.014395953,50,90,"night ",2
"41",53,6,-0.00137950197240811,6,43,0.009593791,50,90,"night ",2
"42",54,6,-0.00271062472900097,6,44,0.00819629,50,90,"night ",2
"43",55,6,-0.0063350046883393,6,45,0.004398695,50,90,"night ",2
"44",56,6,-0.00252680445360283,6,46,0.008393637,50,90,"night ",2
"45",57,6,-0.00671796453994583,6,47,0.003992777,50,90,"night ",2
"46",58,6,-0.00379329019414133,6,48,0.007057784,50,90,"night",2
"47",59,6,-0.00309478846788457,6,49,0.007791786,50,90,"day",3
"48",61,6,-0.00702020246259316,6,51,0.003667428,50,90,"day",3
"49",62,6,-0.00375121014302903,6,52,0.007099062,50,90,"day ",3
"50",63,6,-0.00445857470553098,6,53,0.006355636,50,90,"day",3
"51",64,6,-0.00195182801065985,6,54,0.008987833,50,90,"day",3
"52",65,6,-0.00299037395983435,6,55,0.007899151,50,90,"day ",3
"53",66,6,-0.00326544338617636,6,56,0.007606176,50,90,"day",3
"54",67,6,0.00119612108558099,6,57,0.012293225,50,90,"day ",3
"55",68,6,-0.00406307259488121,6,58,0.006789248,50,90,"day",3
"56",69,6,-0.00128563042968829,6,59,0.009683686,50,90,"day",3
"57",70,6,-2.8876348823381e-05,6,60,0.011009339,50,90,"day",3
"58",71,6,-0.00597243178060612,6,61,0.004772826,50,90,"night",3
"59",72,6,-0.00107635977596637,6,62,0.009908793,50,90,"night",3
"60",73,6,-0.00266552600803589,6,63,0.008241923,50,90,"night",3
"61",74,6,-0.00476188065950098,6,64,0.006036394,50,90,"night",3
"62",75,6,-0.00638567931530012,6,65,0.004340745,50,90,"night",3
"63",76,6,-0.00654164969918291,6,66,0.004171167,50,90,"night",3
"64",77,6,-0.00198886647205254,6,67,0.008953434,50,90,"night",3
"65",78,6,-0.00633813108989204,6,68,0.004386304,50,90,"night",3
"66",79,6,-0.00170931301986947,6,69,0.009248396,50,90,"night",3
"67",80,6,-0.00535018975766191,6,70,0.005424188,50,90,"night",3
"68",81,6,-0.00169747865474042,6,71,0.009259657,50,90,"night",3
"69",82,6,-0.00447999044483482,6,72,0.00633171,50,90,"night ",3
