"","AutoResp.Cycle.Loop","Chamber","MO2 no Background Correction","NA","Hour","Treatment","Time.of.Day","Day","MO2","Genotype"
"1",14,4,0.00824209403032219,4,1,0,"day",1,0.008942046,97
"2",15,4,0.0090713785885155,4,2,0,"day",1,0.009807181,97
"3",16,4,0.0101806161743391,4,3,0,"day",1,0.010954085,97
"4",17,4,0.00842289839554861,4,4,0,"day",1,0.009132163,97
"5",18,4,0.0147749367529649,4,5,0,"day",1,0.015726676,97
"6",19,4,0.0127282693248054,4,6,0,"day",1,0.013607313,97
"7",20,4,0.0142560428483796,4,7,0,"day",1,0.015194951,97
"8",21,4,0.00841039346010737,4,8,0,"day",1,0.00910636,97
"9",22,4,0.010102528753364,4,9,0,"day",1,0.010885053,97
"10",23,4,0.00916243709802244,4,10,0,"day",1,0.009907668,97
"11",24,4,0.0107097614596721,4,11,0,"day",1,0.011515504,97
"12",25,4,0.010135971715543,4,12,0,"day",1,0.01091173,97
"13",26,4,-0.0273939626181089,4,13,0,"night",1,-0.028143144,97
"14",27,4,-0.0235431985545191,4,14,0,"night",1,-0.024144008,97
"15",28,4,-0.0157702926691676,4,15,0,"night",1,-0.016048792,97
"16",29,4,-0.0207258064365693,4,16,0,"night",1,-0.021215267,97
"17",30,4,-0.0211502009289451,4,17,0,"night",1,-0.021651417,97
"18",31,4,-0.0195821550921929,4,18,0,"night",1,-0.020023987,97
"19",32,4,-0.0167143406980762,4,19,0,"night",1,-0.017035639,97
"20",33,4,-0.017346495077436,4,20,0,"night",1,-0.017698922,97
"21",34,4,-0.013267292182359,4,21,0,"night",1,-0.013442065,97
"22",35,4,-0.00932999669031,4,22,0,"night",1,-0.009339712,97
"23",36,4,-0.00868205929411815,4,23,0,"night",1,-0.008669984,97
"24",37,4,-0.00946761252548442,4,24,0,"night",1,-0.009494208,97
"25",38,4,0.0100650818010675,4,25,0,"day",2,0.010831975,97
"26",39,4,0.00953698900630127,4,26,0,"day",2,0.010265904,97
"27",40,4,0.00720256354756222,4,27,0,"day",2,0.007840975,97
"28",41,4,0.0089579611049448,4,28,0,"day",2,0.009666362,97
"29",42,4,0.00430203527206665,4,29,0,"day",2,0.004821774,97
"30",43,4,0.00595129897684203,4,30,0,"day",2,0.006534928,97
"31",44,4,0.00638679517841633,4,31,0,"day",2,0.006996345,97
"32",45,4,0.00675286457129764,4,32,0,"day",2,0.007369999,97
"33",46,4,0.00105173178516334,4,33,0,"day",2,0.001426224,97
"34",47,4,0.00291770278721339,4,34,0,"day",2,0.003383468,97
"35",48,4,0.00175517790455762,4,35,0,"day",2,0.002173447,97
"36",49,4,0.0162344524922555,4,36,0,"day",2,0.017249607,97
"37",50,4,-0.027290607183234,4,37,0,"night",2,-0.028049334,97
"38",51,4,-0.0250083037183458,4,38,0,"night",2,-0.025667692,97
"39",52,4,-0.0203826326653107,4,39,0,"night",2,-0.020844453,97
"40",53,4,-0.0225962700521606,4,40,0,"night",2,-0.023152013,97
"41",54,4,-0.020175238630087,4,41,0,"night",2,-0.020623219,97
"42",55,4,-0.021418877322566,4,42,0,"night",2,-0.021927625,97
"43",56,4,-0.0215348447459449,4,43,0,"night",2,-0.022048205,97
"44",57,4,-0.0199375086524604,4,44,0,"night",2,-0.020382844,97
"45",58,4,-0.0204630665703391,4,45,0,"night",2,-0.020940213,97
"46",59,4,-0.0202024787878807,4,46,0,"night",2,-0.020665498,97
"47",60,4,-0.0214589610125357,4,47,0,"night",2,-0.021979983,97
"48",61,4,-0.0209658306742173,4,48,0,"night",2,-0.021449786,97
"49",62,4,0.0106102317585396,4,49,0,"day",3,0.011397272,97
"50",63,4,0.0099695896715052,4,50,0,"day",3,0.010728814,97
"51",64,4,0.0128455274455496,4,51,0,"day",3,0.01372021,97
"52",65,4,0.00609103875470813,4,52,0,"day",3,0.006696242,97
"53",66,4,0.00474514046368993,4,53,0,"day",3,0.005294135,97
"54",67,4,0.0068820677830263,4,54,0,"day",3,0.007512453,97
"55",68,4,0.0033901244450512,4,55,0,"day",3,0.003867785,97
"56",69,4,0.00145591699490108,4,56,0,"day",3,0.001857936,97
"57",70,4,0.00516597450693727,4,57,0,"day",3,0.005696742,97
"58",71,4,0.00101142223999,4,58,0,"day",3,0.001393465,97
"59",72,4,0.000515121706234354,4,59,0,"day",3,0.00087838,97
"60",73,4,0.000872800751071585,4,60,0,"day",3,0.001255766,97
"61",74,4,-0.0104138788264102,4,61,0,"night",3,-0.01047142,97
"62",75,4,-0.00649622006652613,4,62,0,"night",3,-0.00639281,97
"63",76,4,-0.00644578823869567,4,63,0,"night",3,-0.006340733,97
"64",77,4,-0.00711474636592025,4,64,0,"night",3,-0.00703753,97
"65",78,4,-0.00674183325024154,4,65,0,"night",3,-0.006650934,97
"66",79,4,-0.0062173289393574,4,66,0,"night",3,-0.006104415,97
"67",80,4,-0.00641451401810644,4,67,0,"night",3,-0.006309971,97
"68",81,4,-0.00667351913063449,4,68,0,"night",3,-0.006578327,97
"69",82,4,-0.00630768592434826,4,69,0,"night",3,-0.006200109,97
"70",83,4,-0.006345100500226,4,70,0,"night",3,-0.006240156,97
"71",84,4,-0.00625263357219873,4,71,0,"night",3,-0.006142055,97
"72",85,4,-0.00625879776234392,4,72,0,"night",3,-0.006146835,97
