Date,Experiment,Exp,Treatment,Chamber,ID,Buoyant Weight (g),Adj. BW,Wet Weighgt (g),Adj WW,Coral Volume (mL),Adj. Volume,Denity (g/mL)
12/4/23,2,2-pre,50,1,84-2,12.34,7.71,26.25,16.36,18.00,13.00,1.091
12/4/23,2,2-pre,29,2,84-4,8.34,3.71,17.71,7.82,9.00,4.00,1.955
12/4/23,2,2-pre,15,3,84-6,8.97,4.34,18.91,9.02,10.00,5.00,1.804
12/4/23,2,2-pre,0,4,84-7,10.04,5.41,21.45,11.56,10.00,5.00,2.312
12/4/23,2,2-pre,x,x,84-3,9.06,4.43,19.46,9.57,10.00,5.00,1.914
12/4/23,2,2-pre,29,5,90-2,8.97,4.34,19.85,9.96,10.00,5.00,1.992
12/4/23,2,2-pre,50,6,90-5,9.11,4.48,19.40,9.51,10.00,5.00,1.902
12/4/23,2,2-pre,15,7,90-8,8.62,3.99,19.23,9.34,10.00,5.00,1.868
12/4/23,2,2-pre,x,x,90-9,9.83,5.20,21.61,11.72,10.00,5.00,2.344
12/4/23,2,2-pre,0,8,90-10,8.94,4.31,19.01,9.12,9.00,4.00,2.280
12/11/23,3,3-pre,50,1,97-1,9.46,4.83,20.11,10.22,11.00,6.00,1.703
12/12/23,3,3-pre,29,2,97-3,8.54,3.91,18.28,8.39,10.00,5.00,1.678
12/13/23,3,3-pre,15,3,97-10,7.03,2.40,15.35,5.46,9.00,4.00,1.365
12/14/23,3,3-pre,0,4,97-7,10.43,5.80,21.84,11.95,10.00,5.00,2.390
12/15/23,3,3-pre,x,x,97-2,12.07,7.44,24.99,15.10,12.00,7.00,2.157
12/16/23,3,3-pre,29,5,101-8,10.67,6.04,21.66,11.77,11.00,6.00,2.048
12/17/23,3,3-pre,50,6,101-10,10.05,5.42,21.15,11.26,10.00,5.00,2.433
12/18/23,3,3-pre,15,7,101-11,9.76,5.13,20.19,10.30,10.00,5.00,2.193
12/19/23,3,3-pre,0,8,101-14,11.71,7.08,24.40,14.51,10.00,5.00,3.245
12/20/23,3,3-pre,x,x,101-9,9.22,4.59,19.24,9.35,8.00,3.00,3.910
12/18/23,4,4-pre,50,1,50-1,10.07,5.44,21.91,12.02,19.00,14.00,0.807
12/19/23,4,4-pre,29,2,50-2,10.12,5.49,21.51,11.62,19.00,14.00,0.830
12/20/23,4,4-pre,15,3,50-3,9.64,5.01,20.76,10.87,18.00,13.00,0.836
12/21/23,4,4-pre,0,4,50-5,10.27,5.64,21.59,11.70,19.00,14.00,0.835
12/22/23,4,4-pre,x,x,50-6,8.60,3.97,18.64,8.75,10.00,5.00,1.864
12/23/23,4,4-pre,29,5,60-2,8.32,3.69,17.40,7.51,10.00,5.00,1.502
12/24/23,4,4-pre,50,6,60-4,8.48,3.85,17.50,7.61,10.00,5.00,1.522
12/25/23,4,4-pre,15,7,60-5,9.74,5.11,20.38,10.49,18.00,13.00,0.807
12/26/23,4,4-pre,0,8,60-6,10.05,5.42,20.80,10.91,12.00,7.00,1.558
12/27/23,4,4-pre,x,x,60-3,8.14,3.51,17.58,7.69,8.00,3.00,2.198
4/8/24,9,9-pre,50,1,67-12,11.23,6.60,23.48,13.59,15.00,10.00,0.906
4/9/24,9,9-pre,29,2,67-16,8.25,3.62,17.24,7.35,10.00,5.00,0.735
4/10/24,9,9-pre,15,3,67-22,7.15,2.52,15.99,6.10,10.00,5.00,0.610
4/11/24,9,9-pre,0,4,67-23,6.96,2.33,15.80,5.91,10.00,5.00,0.591
4/12/24,9,9-pre,29,5,80-11,9.29,4.66,21.02,11.13,10.00,5.00,1.113
4/13/24,9,9-pre,50,6,80-14,8.09,3.46,17.04,7.15,10.00,5.00,0.715
4/14/24,9,9-pre,15,7,80-15,8.88,4.25,18.58,8.69,9.00,4.00,0.966
4/15/24,9,9-pre,0,8,80-19,8.99,4.36,19.24,9.35,10.00,5.00,0.935
