"","AutoResp.Cycle.Loop","Chamber","MO2 no Background Correction","Hour","Treatment","Time.of.Day","Day","MO2","Genotype"
"1",13,3,0.00857937494822324,1,15,"day",1,0.021763355,50
"2",14,3,0.00696511572813102,2,15,"day",1,0.02007683,50
"3",15,3,0.00596957667946233,3,15,"day",1,0.019037082,50
"4",16,3,0.0066476361081429,4,15,"day",1,0.019746489,50
"5",17,3,0.00443777397891158,5,15,"day",1,0.017434104,50
"6",18,3,7.51306651418188e-05,6,15,"day",1,0.01291006,50
"7",19,3,-0.00180319789395976,7,15,"day",1,0.010951443,50
"8",20,3,-0.00173815093434471,8,15,"day",1,0.011019514,50
"9",21,3,-0.00102472327589386,9,15,"day",1,0.011758313,50
"10",22,3,0.00388594715112393,10,15,"day",1,0.016869818,50
"11",23,3,0.000370526159854835,11,15,"day",1,0.013211495,50
"12",24,3,0.00148557496105002,12,15,"day",1,0.014373857,50
"13",25,3,-0.0223864137635915,13,15,"night",1,-0.010457349,50
"14",26,3,-0.0268305260524701,14,15,"night",1,-0.015084784,50
"15",27,3,-0.0270054305547632,15,15,"night",1,-0.015264465,50
"16",28,3,-0.0288628269123287,16,15,"night",1,-0.017197625,50
"17",29,3,-0.0302541086406545,17,15,"night",1,-0.018644873,50
"18",30,3,-0.0272293171686551,18,15,"night",1,-0.015499532,50
"19",31,3,-0.0260937380994682,19,15,"night",1,-0.014316385,50
"20",32,3,-0.0285773868796047,20,15,"night",1,-0.016900685,50
"21",33,3,-0.0277204231034392,21,15,"night",1,-0.016007582,50
"22",34,3,-0.0277096481860059,22,15,"night",1,-0.015995646,50
"23",35,3,-0.026774323841259,23,15,"night",1,-0.015024796,50
"24",36,3,-0.0259678293557935,24,15,"night",1,-0.014186733,50
"25",37,3,-0.00829539541563901,25,15,"day",2,0.00420048,50
"26",38,3,-0.00333375815835918,26,15,"day",2,0.009362907,50
"27",39,3,-0.00208275483129879,27,15,"day",2,0.010663847,50
"28",40,3,-0.00187868534215587,28,15,"day",2,0.010877763,50
"29",41,3,-0.00393421283266238,29,15,"day",2,0.008739028,50
"30",42,3,-0.00624742614405836,30,15,"day",2,0.006323974,50
"31",43,3,-0.00377342830517392,31,15,"day",2,0.008904529,50
"32",44,3,-0.00177141433246224,32,15,"day",2,0.010987019,50
"33",45,3,-0.00187210845922953,33,15,"day",2,0.010883177,50
"34",46,3,-0.00118741046694056,34,15,"day",2,0.011592746,50
"35",47,3,-0.0018095568666669,35,15,"day",2,0.0109472,50
"36",48,3,-0.000600180080902187,36,15,"day",2,0.012205824,50
"37",49,3,-0.0107975252965754,37,15,"night",2,0.001604714,50
"38",50,3,-0.010564718933338,38,15,"night",2,0.001846989,50
"39",51,3,-0.0190588271716914,39,15,"night",2,-0.007002494,50
"40",52,3,-0.02199826411237,40,15,"night",2,-0.010048397,50
"41",53,3,-0.0228034977285981,41,15,"night",2,-0.010887537,50
"42",54,3,-0.0218729725791599,42,15,"night",2,-0.009921271,50
"43",55,3,-0.0218783287073962,43,15,"night",2,-0.009927931,50
"44",56,3,-0.0196007205072684,44,15,"night",2,-0.007556376,50
"45",57,3,-0.0203748743253188,45,15,"night",2,-0.008363658,50
"46",58,3,-0.0192279765145984,46,15,"night",2,-0.007167674,50
"47",59,3,-0.0203914588172243,47,15,"night",2,-0.008379455,50
"48",60,3,-0.0208545006759554,48,15,"night",2,-0.008861535,50
"49",61,3,0.00177463256866154,49,15,"day",3,0.014677712,50
"50",62,3,-0.00180730710751584,50,15,"day",3,0.010950493,50
"51",63,3,-0.00382071582220288,51,15,"day",3,0.008848347,50
"52",64,3,-0.00138541504780605,52,15,"day",3,0.011389456,50
"53",65,3,-0.00204076773960286,53,15,"day",3,0.01070688,50
"54",66,3,-0.000787381854440759,54,15,"day",3,0.01201293,50
"55",67,3,-0.0012875256910019,55,15,"day",3,0.011493642,50
"56",68,3,-0.0138135567854586,56,15,"day",3,-0.001529129,50
"57",69,3,0.000828297732022401,57,15,"day",3,0.013695204,50
"58",70,3,7.08851351638874e-05,58,15,"day",3,0.012901272,50
"59",71,3,0.00321094211752911,59,15,"day",3,0.016171382,50
"60",72,3,-0.00293491155070346,60,15,"day",3,0.009773482,50
"61",73,3,-0.00860351158517055,61,15,"night",3,0.00388879,50
"62",74,3,-0.00773438633521033,62,15,"night",3,0.004790276,50
"63",75,3,-0.0100832319942485,63,15,"night",3,0.002351137,50
"64",76,3,-0.0120432741368601,64,15,"night",3,0.000311552,50
"65",77,3,-0.0107097163200383,65,15,"night",3,0.001699004,50
"66",78,3,-0.0119567553802623,66,15,"night",3,0.000402342,50
"67",79,3,-0.0108359526690565,67,15,"night",3,0.001565984,50
"68",80,3,-0.0109409254630705,68,15,"night",3,0.001457358,50
"69",81,3,-0.00984133298738823,69,15,"night",3,0.002599193,50
"70",82,3,-0.00887746863160221,70,15,"night",3,0.003604948,50
"71",83,3,-0.0100186613348212,71,15,"night",3,0.002413631,50
