"","X","AutoResp.Cycle.Loop","Chamber","MO2.no.Background.Correction","Hour","Treatment","Time.of.Day","Day","MO2","Genotype","Trial"
"1",1,13,1,0.0190057334609679,1,50,"day",1,0.031367317,50,4
"2",2,14,1,0.0225234553621038,2,50,"day",1,0.035021342,50,4
"3",3,15,1,0.0132880186340075,3,50,"day",1,0.025399922,50,4
"4",4,16,1,0.000448478288219288,4,50,"day",1,0.012052997,50,4
"5",5,17,1,0.00497469220157423,5,50,"day",1,0.016750713,50,4
"6",6,18,1,0.00846095462697893,6,50,"day",1,0.02038936,50,4
"7",7,19,1,0.0123510872328055,7,50,"day",1,0.02442605,50,4
"8",8,20,1,0.0133571705472744,8,50,"day",1,0.025477176,50,4
"9",9,21,1,0.00636579112235723,9,50,"day",1,0.018203943,50,4
"10",10,22,1,0.00977608685300585,10,50,"day",1,0.021750257,50,4
"11",11,23,1,0.00214054557888405,11,50,"day",1,0.01380689,50,4
"12",12,24,1,0.00467660816777231,12,50,"day",1,0.016447007,50,4
"13",13,25,1,-0.0257155230037355,13,50,"night",1,-0.015166466,50,4
"14",14,26,1,-0.0193468603342604,14,50,"night",1,-0.008539135,50,4
"15",15,27,1,-0.0213325389925621,15,50,"night",1,-0.0106049,50,4
"16",16,28,1,-0.020411590444822,16,50,"night",1,-0.009651711,50,4
"17",17,29,1,-0.0192909920746525,17,50,"night",1,-0.008483775,50,4
"18",18,30,1,-0.0200540053053227,18,50,"night",1,-0.009279231,50,4
"19",19,31,1,-0.0166731122313152,19,50,"night",1,-0.005759563,50,4
"20",20,32,1,-0.0205955787863497,20,50,"night",1,-0.009841505,50,4
"21",21,33,1,-0.0165439722079824,21,50,"night",1,-0.005624155,50,4
"22",22,34,1,-0.0220340771230248,22,50,"night",1,-0.011339196,50,4
"23",23,35,1,-0.016547301363944,23,50,"night",1,-0.005628744,50,4
"24",24,36,1,-0.0215661838022238,24,50,"night",1,-0.010852722,50,4
"25",25,37,1,0.00760116129922099,25,50,"day",2,0.019493179,50,4
"26",26,38,1,0.0246007827416962,26,50,"day",2,0.037190318,50,4
"27",27,39,1,0.00160541221655257,27,50,"day",2,0.013250039,50,4
"28",28,40,1,0.00420699798521502,28,50,"day",2,0.015959763,50,4
