"","Chamber","X.1","X","AutoResp.Cycle.Loop","MO2.no.Background.Correction","NA.","Hour","Treatment","Time.of.Day","Day","MO2","Genotype","Trial","Max.Dark.MO2","MO2.from.Dark.Max"
"1",1,1,1,14,0.000815135774395743,1,1,50,"day",1,0.003781323,97,3,0.00830389560845484,-0.0074887598340591
"2",1,2,2,15,0.00332481408351656,1,2,50,"day",1,0.006389933,97,3,0.00830389560845484,-0.00497908152493828
"3",1,3,3,16,-0.00134558685496932,1,3,50,"day",1,0.001516155,97,3,0.00830389560845484,-0.00964948246342416
"4",1,4,4,17,-0.00207332293639105,1,4,50,"day",1,0.000781058,97,3,0.00830389560845484,-0.0103772185448459
"5",1,5,5,18,-0.000634454374984149,1,5,50,"day",1,0.002264277,97,3,0.00830389560845484,-0.00893834998343899
"6",1,6,6,19,-0.00797782458012137,1,6,50,"day",1,-0.005370749,97,3,0.00830389560845484,-0.0162817201885762
"7",1,7,7,20,-0.00732555842702641,1,7,50,"day",1,-0.004700019,97,3,0.00830389560845484,-0.0156294540354813
"8",1,8,8,21,-0.0110129585869559,1,8,50,"day",1,-0.008508012,97,3,0.00830389560845484,-0.0193168541954107
"9",1,9,9,22,-0.00338366086196142,1,9,50,"day",1,-0.000579282,97,3,0.00830389560845484,-0.0116875564704163
"10",1,10,10,23,-0.0117092419643412,1,10,50,"day",1,-0.009237101,97,3,0.00830389560845484,-0.020013137572796
"11",1,11,11,24,-0.000266453792903736,1,11,50,"day",1,0.002661165,97,3,0.00830389560845484,-0.00857034940135858
"12",1,12,12,25,-0.00743197329627646,1,12,50,"day",1,-0.004795672,97,3,0.00830389560845484,-0.0157358689047313
"13",1,13,13,26,-0.0258013895553971,1,13,50,"night",1,-0.02389147,97,3,0.00830389560845484,-0.0341052851638519
"14",1,14,14,27,-0.0175172696508338,1,14,50,"night",1,-0.015285854,97,3,0.00830389560845484,-0.0258211652592886
"15",1,15,15,28,-0.027630488984195,1,15,50,"night",1,-0.025791247,97,3,0.00830389560845484,-0.0359343845926498
"16",1,16,16,29,-0.0254926980259524,1,16,50,"night",1,-0.023566001,97,3,0.00830389560845484,-0.0337965936344072
"17",1,17,17,30,-0.0232407735620012,1,17,50,"night",1,-0.021234196,97,3,0.00830389560845484,-0.031544669170456
"18",1,18,18,31,-0.0241051404930993,1,18,50,"night",1,-0.022138517,97,3,0.00830389560845484,-0.0324090361015541
"19",1,19,19,32,-0.0244603664039652,1,19,50,"night",1,-0.022504949,97,3,0.00830389560845484,-0.03276426201242
"20",1,20,20,33,-0.0279261691304029,1,20,50,"night",1,-0.026112951,97,3,0.00830389560845484,-0.0362300647388577
