"","Chamber","X.1","X","AutoResp.Cycle.Loop","MO2.no.Background.Correction","Hour","Treatment","Time.of.Day","Day","MO2","Genotype","Trial","Max.Dark.MO2","MO2.from.Dark.Max"
"1",1,1,1,13,0.0190057334609679,1,50,"day",1,0.031367317,50,4,-0.0107941014534714,0.0297998349144393
"2",1,2,2,14,0.0225234553621038,2,50,"day",1,0.035021342,50,4,-0.0107941014534714,0.0333175568155752
"3",1,3,3,15,0.0132880186340075,3,50,"day",1,0.025399922,50,4,-0.0107941014534714,0.0240821200874789
"4",1,4,4,16,0.000448478288219288,4,50,"day",1,0.012052997,50,4,-0.0107941014534714,0.0112425797416907
"5",1,5,5,17,0.00497469220157423,5,50,"day",1,0.016750713,50,4,-0.0107941014534714,0.0157687936550456
"6",1,6,6,18,0.00846095462697893,6,50,"day",1,0.02038936,50,4,-0.0107941014534714,0.0192550560804503
"7",1,7,7,19,0.0123510872328055,7,50,"day",1,0.02442605,50,4,-0.0107941014534714,0.0231451886862769
"8",1,8,8,20,0.0133571705472744,8,50,"day",1,0.025477176,50,4,-0.0107941014534714,0.0241512720007458
"9",1,9,9,21,0.00636579112235723,9,50,"day",1,0.018203943,50,4,-0.0107941014534714,0.0171598925758286
"10",1,10,10,22,0.00977608685300585,10,50,"day",1,0.021750257,50,4,-0.0107941014534714,0.0205701883064772
"11",1,11,11,23,0.00214054557888405,11,50,"day",1,0.01380689,50,4,-0.0107941014534714,0.0129346470323554
"12",1,12,12,24,0.00467660816777231,12,50,"day",1,0.016447007,50,4,-0.0107941014534714,0.0154707096212437
"13",1,13,13,25,-0.0257155230037355,13,50,"night",1,-0.015166466,50,4,-0.0107941014534714,-0.0149214215502641
"14",1,14,14,26,-0.0193468603342604,14,50,"night",1,-0.008539135,50,4,-0.0107941014534714,-0.008552758880789
"15",1,15,15,27,-0.0213325389925621,15,50,"night",1,-0.0106049,50,4,-0.0107941014534714,-0.0105384375390907
"16",1,16,16,28,-0.020411590444822,16,50,"night",1,-0.009651711,50,4,-0.0107941014534714,-0.0096174889913506
"17",1,17,17,29,-0.0192909920746525,17,50,"night",1,-0.008483775,50,4,-0.0107941014534714,-0.0084968906211811
"18",1,18,18,30,-0.0200540053053227,18,50,"night",1,-0.009279231,50,4,-0.0107941014534714,-0.0092599038518513
"19",1,19,19,31,-0.0166731122313152,19,50,"night",1,-0.005759563,50,4,-0.0107941014534714,-0.0058790107778438
"20",1,20,20,32,-0.0205955787863497,20,50,"night",1,-0.009841505,50,4,-0.0107941014534714,-0.0098014773328783
"21",1,21,21,33,-0.0165439722079824,21,50,"night",1,-0.005624155,50,4,-0.0107941014534714,-0.005749870754511
"22",1,22,22,34,-0.0220340771230248,22,50,"night",1,-0.011339196,50,4,-0.0107941014534714,-0.0112399756695534
"23",1,23,23,35,-0.016547301363944,23,50,"night",1,-0.005628744,50,4,-0.0107941014534714,-0.0057531999104726
"24",1,24,24,36,-0.0215661838022238,24,50,"night",1,-0.010852722,50,4,-0.0107941014534714,-0.0107720823487524
"25",1,25,25,37,0.00760116129922099,25,50,"day",2,0.019493179,50,4,-0.0107941014534714,0.0183952627526924
"26",1,26,26,38,0.0246007827416962,26,50,"day",2,0.037190318,50,4,-0.0107941014534714,0.0353948841951676
"27",1,27,27,39,0.00160541221655257,27,50,"day",2,0.013250039,50,4,-0.0107941014534714,0.012399513670024
"28",1,28,28,40,0.00420699798521502,28,50,"day",2,0.015959763,50,4,-0.0107941014534714,0.0150010994386864
"29",1,29,29,41,0.000717498703019499,29,50,"day",2,0.012330025,50,4,-0.0107941014534714,0.0115116001564909
"30",1,30,30,42,0.00956559414251222,30,50,"day",2,0.021535296,50,4,-0.0107941014534714,0.0203596955959836
"31",1,31,31,43,-0.00346386895288831,31,50,"day",2,0.007967404,50,4,-0.0107941014534714,0.00733023250058309
"32",1,32,32,44,9.21408794197924e-05,32,50,"day",2,0.011672047,50,4,-0.0107941014534714,0.0108862423328912
"33",1,33,33,45,-0.000779581218189092,33,50,"day",2,0.01077189,50,4,-0.0107941014534714,0.0100145202352823
"34",1,34,34,46,0.000405296626888096,34,50,"day",2,0.012000783,50,4,-0.0107941014534714,0.0111993980803595
"35",1,35,35,47,0.00232165534543826,35,50,"day",2,0.013998314,50,4,-0.0107941014534714,0.0131157567989097
