"","X","AutoResp.Cycle.Loop","Chamber","MO2.no.Background.Correction","Hour","MO2","Treatment","Genotype","Time.of.Day","Day.of.Exp","Trial"
"1",1,13,1,-0.00722673698546132,1,0.008587292,"50 NTU",67,"day",1,9
"2",2,14,1,-0.00365752170936287,2,0.012306859,"50 NTU",67,"day",1,9
"3",3,15,1,-0.0014602836639985,3,0.014586194,"50 NTU",67,"day",1,9
"4",4,16,1,-0.00127400401340078,4,0.014781646,"50 NTU",67,"day",1,9
"5",5,17,1,-1.71965813391112e-05,5,0.016095864,"50 NTU",67,"day",1,9
"6",6,18,1,-0.00174637567626571,6,0.014286734,"50 NTU",67,"day",1,9
"7",7,19,1,-0.00225796244371141,7,0.013758324,"50 NTU",67,"day",1,9
"8",8,20,1,0.00289532521450264,8,0.019120352,"50 NTU",67,"day",1,9
"9",9,21,1,-0.00032581184971673,9,0.015769872,"50 NTU",67,"day",1,9
"10",10,22,1,0.00547846642852861,10,0.021802373,"50 NTU",67,"day",1,9
"11",11,23,1,-0.000129362273768219,11,0.015974235,"50 NTU",67,"day",1,9
"12",12,24,1,0.000911972295743318,12,0.017053546,"50 NTU",67,"day",1,9
"13",13,25,1,-0.0282742560979464,13,-0.013314882,"50 NTU",67,"night",1,9
"14",14,26,1,-0.0247015439273412,14,-0.009594773,"50 NTU",67,"night",1,9
"15",15,27,1,-0.0261745484851864,15,-0.011131569,"50 NTU",67,"night",1,9
"16",16,28,1,-0.0264247876826768,16,-0.011389713,"50 NTU",67,"night",1,9
"17",17,29,1,-0.0220327573305004,17,-0.006818036,"50 NTU",67,"night",1,9
"18",18,30,1,-0.0270426098558527,18,-0.01203097,"50 NTU",67,"night",1,9
"19",19,31,1,-0.0241724294673662,19,-0.009045132,"50 NTU",67,"night",1,9
"20",20,32,1,-0.0257075245739857,20,-0.010645282,"50 NTU",67,"night",1,9
"21",21,33,1,-0.0251824410543377,21,-0.010094797,"50 NTU",67,"night",1,9
"22",22,34,1,-0.022929467823327,22,-0.007751578,"50 NTU",67,"night",1,9
"23",23,35,1,-0.0262381136902112,23,-0.011194264,"50 NTU",67,"night",1,9
"24",24,36,1,-0.0256450324980393,24,-0.010578084,"50 NTU",67,"night",1,9
"25",25,37,1,-0.00693917462812589,25,0.008889004,"50 NTU",67,"day ",2,9
"26",26,38,1,-0.00432791483009478,26,0.011602803,"50 NTU",67,"day",2,9
"27",27,39,1,-0.000456535684589164,27,0.015624951,"50 NTU",67,"day ",2,9
"28",28,40,1,0.00314841180133767,28,0.019383334,"50 NTU",67,"day",2,9
"29",29,41,1,-0.0058430291658047,29,0.010024817,"50 NTU",67,"day ",2,9
"30",30,42,1,0.000912900637074644,30,0.017059487,"50 NTU",67,"day",2,9
"31",31,43,1,-0.000136381651737695,31,0.015965747,"50 NTU",67,"day ",2,9
"32",32,44,1,-0.000654546650366121,32,0.015427004,"50 NTU",67,"day",2,9
"33",33,45,1,0.00758549696360226,33,0.023997531,"50 NTU",67,"day ",2,9
"34",34,46,1,0.0047233293484629,34,0.021024603,"50 NTU",67,"day",2,9
"35",35,47,1,7.83834042444069e-05,35,0.016184969,"50 NTU",67,"day ",2,9
"36",36,48,1,-0.000242475700124008,36,0.015854031,"50 NTU",67,"day",2,9
"37",37,49,1,-0.0307045966215473,37,-0.015844608,"50 NTU",67,"night ",2,9
"38",38,50,1,-0.0273236418067735,38,-0.012324944,"50 NTU",67,"night ",2,9
"39",39,51,1,-0.0296094403824914,39,-0.01470892,"50 NTU",67,"night ",2,9
"40",40,52,1,-0.0264901018989628,40,-0.011459255,"50 NTU",67,"night ",2,9
"41",41,53,1,-0.0286777877851814,41,-0.013735084,"50 NTU",67,"night ",2,9
"42",42,54,1,-0.0226348007760523,42,-0.007445639,"50 NTU",67,"night ",2,9
"43",43,55,1,-0.0256334761643362,43,-0.010565482,"50 NTU",67,"night ",2,9
"44",44,56,1,-0.0250368552130674,44,-0.00994819,"50 NTU",67,"night ",2,9
"45",45,57,1,-0.0236927888260543,45,-0.008548078,"50 NTU",67,"night ",2,9
"46",46,58,1,-0.0274057315764641,46,-0.012413691,"50 NTU",67,"night ",2,9
"47",47,59,1,-0.0233643955359702,47,-0.008206377,"50 NTU",67,"night ",2,9
"48",48,60,1,-0.0278524275506596,48,-0.012879487,"50 NTU",67,"night ",2,9
"49",49,61,1,-0.00226602585413916,49,0.013754841,"50 NTU",67,"day ",3,9
"50",50,62,1,-0.00734798552076622,50,0.008457446,"50 NTU",67,"day",3,9
"51",51,63,1,-0.00368360889191741,51,0.012269091,"50 NTU",67,"day ",3,9
"52",52,64,1,0.00103092618476678,52,0.017174723,"50 NTU",67,"day",3,9
"53",53,65,1,-0.00340504624425809,53,0.012561227,"50 NTU",67,"day ",3,9
"54",54,66,1,0.0007798232673286,54,0.016917629,"50 NTU",67,"day",3,9
"55",55,67,1,0.000119803825548963,55,0.016230043,"50 NTU",67,"day ",3,9
"56",56,68,1,-0.00173428413782356,56,0.014297786,"50 NTU",67,"day",3,9
"57",57,69,1,-0.00691951223573764,57,0.008907065,"50 NTU",67,"day ",3,9
"58",58,70,1,-0.000559211691389588,58,0.015525991,"50 NTU",67,"day",3,9
"59",59,71,1,-0.00217213761371352,59,0.013846551,"50 NTU",67,"day ",3,9
"60",60,72,1,-0.00477024002224295,60,0.01114405,"50 NTU",67,"day",3,9
"61",61,73,1,-0.026840973803556,61,-0.011820445,"50 NTU",67,"night",3,9
"62",62,74,1,-0.0246060770678081,62,-0.009494559,"50 NTU",67,"night",3,9
"63",63,75,1,-0.025703133441302,63,-0.010639749,"50 NTU",67,"night",3,9
"64",64,76,1,-0.0250590743994568,64,-0.009966717,"50 NTU",67,"night",3,9
"65",65,77,1,-0.0260646506911632,65,-0.011017443,"50 NTU",67,"night",3,9
"66",66,78,1,-0.0256552759607321,66,-0.010588164,"50 NTU",67,"night",3,9
"67",67,79,1,-0.025484483020806,67,-0.010414417,"50 NTU",67,"night",3,9
"68",68,80,1,-0.0260358732533739,68,-0.010985022,"50 NTU",67,"night",3,9
"69",69,81,1,-0.0248717422331059,69,-0.009775984,"50 NTU",67,"night",3,9
"70",70,82,1,-0.0257329739487441,70,-0.010671448,"50 NTU",67,"night",3,9
"71",71,83,1,-0.0246929183479669,71,-0.009591104,"50 NTU",67,"night",3,9
"72",72,84,1,-0.026277162080278,72,-0.01123762,"50 NTU",67,"night",3,9
"73",1,13,2,-0.0138039710933502,1,0.010007907,"29 NTU",67,"day",1,9
"74",2,14,2,-0.00966152782510903,2,0.014330565,"29 NTU",67,"day",1,9
"75",3,15,2,-0.00382378631272365,3,0.020398385,"29 NTU",67,"day",1,9
"76",4,16,2,-0.00297524988715944,4,0.021284729,"29 NTU",67,"day",1,9
"77",5,17,2,-0.00394417625190987,5,0.020277904,"29 NTU",67,"day",1,9
"78",6,18,2,-0.01507602532761,6,0.008685989,"29 NTU",67,"day",1,9
"79",7,19,2,-0.0105667081911588,7,0.013384473,"29 NTU",67,"day",1,9
"80",8,20,2,-0.00240711326389082,8,0.021878295,"29 NTU",67,"day",1,9
"81",9,21,2,-0.012532380412606,9,0.011343051,"29 NTU",67,"day",1,9
"82",10,22,2,-0.00322663473710099,10,0.021018916,"29 NTU",67,"day",1,9
"83",11,23,2,-0.0103392515363567,11,0.01362675,"29 NTU",67,"day",1,9
"84",12,24,2,-0.00599095970711301,12,0.018145924,"29 NTU",67,"day",1,9
"85",13,25,2,-0.0379343607039435,13,-0.015089975,"29 NTU",67,"night",1,9
"86",14,26,2,-0.0340818414778605,14,-0.011075798,"29 NTU",67,"night",1,9
"87",15,27,2,-0.0380462375255919,15,-0.015209992,"29 NTU",67,"night",1,9
"88",16,28,2,-0.0354501817328247,16,-0.012500609,"29 NTU",67,"night",1,9
"89",17,29,2,-0.030615185535467,17,-0.007470481,"29 NTU",67,"night",1,9
"90",18,30,2,-0.040325890110539,18,-0.01757518,"29 NTU",67,"night",1,9
"91",19,31,2,-0.0358010936749212,19,-0.012865127,"29 NTU",67,"night",1,9
"92",20,32,2,-0.0366965259620078,20,-0.013805838,"29 NTU",67,"night",1,9
"93",21,33,2,-0.0371271081718585,21,-0.014245346,"29 NTU",67,"night",1,9
"94",22,34,2,-0.0305287671340047,22,-0.007384562,"29 NTU",67,"night",1,9
"95",23,35,2,-0.039986388862807,23,-0.017222308,"29 NTU",67,"night",1,9
"96",24,36,2,-0.0361278398395371,24,-0.013209651,"29 NTU",67,"night",1,9
"97",25,37,2,-0.0224177362155321,25,0.00105357,"29 NTU",67,"day ",2,9
"98",26,38,2,-0.0194284319758296,26,0.004162709,"29 NTU",67,"day",2,9
"99",27,39,2,-0.011558882388519,27,0.012346994,"29 NTU",67,"day ",2,9
"100",28,40,2,-0.00818724174992386,28,0.015863254,"29 NTU",67,"day",2,9
"101",29,41,2,-0.0217230094915433,29,0.00176248,"29 NTU",67,"day ",2,9
"102",30,42,2,-0.00930052148586681,30,0.014701775,"29 NTU",67,"day",2,9
"103",31,43,2,-0.0115330235415335,31,0.012378243,"29 NTU",67,"day ",2,9
"104",32,44,2,-0.0118977018907543,32,0.012000712,"29 NTU",67,"day",2,9
"105",33,45,2,-0.00624924406811148,33,0.017870075,"29 NTU",67,"day ",2,9
"106",34,46,2,-0.00593961325355836,34,0.018202276,"29 NTU",67,"day",2,9
"107",35,47,2,-0.0103513193421038,35,0.013609844,"29 NTU",67,"day ",2,9
"108",36,48,2,-0.0103013322882636,36,0.013659589,"29 NTU",67,"day",2,9
"109",37,49,2,-0.0329968382470957,37,-0.009947433,"29 NTU",67,"night ",2,9
"110",38,50,2,-0.0354395181868083,38,-0.012490434,"29 NTU",67,"night ",2,9
"111",39,51,2,-0.0394245663806664,39,-0.016644832,"29 NTU",67,"night ",2,9
"112",40,52,2,-0.0324133040350054,40,-0.009339053,"29 NTU",67,"night ",2,9
"113",41,53,2,-0.0475553300886155,41,-0.025112522,"29 NTU",67,"night ",2,9
"114",42,54,2,-0.0455696080611378,42,-0.023044357,"29 NTU",67,"night ",2,9
"115",43,55,2,-0.0485455515354558,43,-0.02613849,"29 NTU",67,"night ",2,9
"116",44,56,2,-0.0518841210636049,44,-0.029618347,"29 NTU",67,"night ",2,9
"117",45,57,2,-0.0513045540963037,45,-0.029014341,"29 NTU",67,"night ",2,9
"118",46,58,2,-0.0566244446738697,46,-0.034550043,"29 NTU",67,"night ",2,9
"119",47,59,2,-0.0496550309623472,47,-0.027297349,"29 NTU",67,"night ",2,9
"120",48,60,2,-0.0513249206883939,48,-0.029023431,"29 NTU",67,"night ",2,9
"121",49,61,2,-0.0186052597269603,49,0.005019689,"29 NTU",67,"day ",3,9
"122",50,62,2,-0.0169668587657122,50,0.006722524,"29 NTU",67,"day",3,9
"123",51,63,2,-0.0190759666151637,51,0.004522577,"29 NTU",67,"day ",3,9
"124",52,64,2,-0.0152506683152806,52,0.008510582,"29 NTU",67,"day",3,9
"125",53,65,2,-0.0223786822135552,53,0.001083402,"29 NTU",67,"day ",3,9
"126",54,66,2,-0.0154848006708531,54,0.008268336,"29 NTU",67,"day",3,9
"127",55,67,2,-0.0148602765899995,55,0.008918191,"29 NTU",67,"day ",3,9
